Codice	ELENCO PRESTAZIONI
045T	Mantenimento della pervietà delle vie aeree superiori, aspirazione delle secrezioni di un paziente anche se intubato o tracheotomizzato.
046T	Manutenzione della cannula di un tracheotomizzato e/o cura del ttacheostoma
047T	Ventilazione;manuale;strumentale;o;mediante maschera;e;controllo dell'adattamento di un paziente ad un ventilatore.
048T	Predisposizione di un ventilatore e del materiale per l'intubazione oro/naso tracheale.
049T	Pulizia e ripristino di un ventilatore e del relativo materiale d'uso.
050T	Manipolazione di un drenaggio toracico.
051T	Cura del naso e della bocca.
052T	Addestramento all'uso di presidi che possono facilitare l'alimentazione.
053T	Controllo e registrazione della dieta del paziente, del suo bilancio alimentare del suo peso e del suo stato di idratazione.
054T	Educazione alla cura del seno prima e dopo l'allattamento.
055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
056T	Sondaggio gastrico o duodenale a scopo nutrizionale, diagnostico o evacuativo.
057T	Valutazione e registrazione del liquido aspirato da una sonda gastrica.
058T	Irrigazione gastrica con varie soluzioni.
O59T	Controllo dell'igiene dentale.
O6OT	Preparazione e somministrazione di un biberon.
061T	Assistenza alla persona con vomito
O62T	Aiuto per assumere cibo e bevande anche con sistemi appropriati a persona lcon handicap.
063T	Controllo ed assistenza delle stomie delle vie urinarie
064T	Posizionamento di un catetere vescicale a permanenza
065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
066T	Instillazioni o irrigazioni vescicali o intrauretrali
067T	Assistenza  corrente a  un paziente  sottoposto  a dialisi peritoneale  a prestazione; da definire in caso di progetto educativo/di addestramento
068T	Gestione/assistenza ad attività emodialitiche: a prestazione. Da concordare se jper più prestazioni
069T	Messa in sito assorbenti/pannoloni
070T	Gestione dei presidi utilizzati per facilitare la funzione di eliminazione (es. lcontrollo, sostituzione e rimozione delle sacche di raccolta della diuresi).
071T	Igiene della zona genitale nella donna e nell'uomo
O72T	Controllo e cure ordinarie della pelle e/o delle mucose attorno a drenaggi, cateteri e sonde
O73T	Partecipazione al piano di rieducazione vescicale
074T	Raccolta di un campione di urine
O75T	Raccolta sterile di un campione di urine nell'uomo e nella donna mediante cateterismo estemporaneo
076T	Insegnamento al paziente e/o alla famiglia: - su norme di idratazione/alimentazione funzionali ad una buona eliminazione; per la valutazione della qualità e dell'aspetto <1elle feci;
per 	a protezione efficace della cute perineale in caso di diarrea o incontinenza; su norme di igiene specifiche della regione perineale nella donna e nell'uomo
(adu	ti e bambini).
077T	Educazione del paziente e/o della sua famiglia in caso di stomia intestinale
078T	Insegnamento al paziente e/o alla sua famiglia all'utilizzo di mezzi e delle misure per evitare contagio in caso di malattia trasmissibile per via orofecale
079T	Controllo ed assistenza corrente a stomie delle vie intestinali
080T	Preparazione ed effettuazione di clistere
081T	Preparazione ed effettuazione di rettoclisi
082T	Disinfezione ambientale trasmissione oro-fecale;in;caso;di pericolo;di diffusione;di malattie a
083T	Assistenza al paziente nell'eliminazione intestinale
084T	Messa in opera e cambio dei mezzi di protezione del letto e degli indumenti, k:iella pelle e delle mucose in caso di incontinenza o diarrea.
085T	Estrazione fecalomi
086T	Cure igieniche appropriate ad un'eccessiva traspirazione
087T	rrrasporto assistito di un paziente all'interno di una struttura sanitaria.
088T	Trasporto assistito di un paziente con automezzo proprio o di terzi.
089T	Trasporto assistito di un paziente con aeromobile o elicottero.
090T	revenzione non medicinale delle trombosi
091T	Aiuto all'alzata e posizionamento corretto prevenendo ed evitando posizion· wiziate, senza ricorso alle tecniche di rieducazione: - trasferimento e posizionamento del paziente dal letto alla poltrona -  trasferimento del paziente dalla poltrona al letto
092T	Aiuto nella deambulazione senza ricorso alle tecniche di rieducazione
093T	Pianificazione ed esecuzione di esercizi fisici semplici.
094T	Valutazione della durata e della qualità del riposo e del sonno diurno e notturno
095T	Organizzazione di un programma di attività che tenga conto dei ritmi sonno/veglia del paziente e delle condizioni dell'ambiente.
096T	Controllo della assunzione di liquidi in rapporto ad una eventuale nicturia
097T	Preparazione del paziente e dell'ambiente al sonno e al riposo (anche nel bambino)
098T	Educazione del familiare e/o del paziente a vestirsi e svestirsi, anche con l'uso di ausili in rapporto a particolari condizioni (patologie invalidanti, protesi);
099T	Relazione di aiuto terapeutico in rapporto "all'immagine di se" anche rispettc all'uso di protesi;
100T	Controllo ed evoluzione dei segni collegati all'aumento o alla diminuzione della temperatura
101T	IControllo dei neonati posti in incubatrice o termoculla
102T	Sorveglianza di una ipotermia indotta a scopo terapeutico.
103T	Controllo ed intervento sull'ambiente, su altri presidi e sul paziente per regolarne la temperatura
104T	!Altre tecniche fisiche di correzione dell'ipotermia b dell'ipertermia
105T	Bagni terapeutici e medicati
106T	Frizioni, impacchi, massaggi
107T	Bagno a letto completo
108T	Bagno nella vasca/doccia in tutte le sue fasi
109T	Toilettè di una parte del corpo
110T	Cure igieniche di apparecchi correttivi e protesi
111T	Individuazione delle parassitosi esterne e assistenza alle persone colpite.
112T	Controllo delle lesioni cutanee dovute a fattori chimici e fisici: irradiamento, emici, ecc.
113T	Prevenzione delle lesioni da pressione
114T	Assistenza e sorveglianza di ulcere cutanee croniche
115T	Mappatura dei pericoli presenti in un ambiente e relative proposte di modifiche
116T	Predisposizione di presidi atti a ridurre i pericoli
117T	Controllo della sensibilità del malato al caldo, al freddo e al dolore
118T	Assistenza e sorveglianza di uno o più pazienti posti in ambiente a bassa carica microbica
119T	Controlli di igiene ambientale presso collettività e case
120T	Attività di disinfezione e/o disinfezione di ambienti di vita collettiva e familiare
121T	Attuazione e controllo dei metodi di immobilizzazione in sicurezza di persone che presentano alterazioni cognitivo/comportamentali
122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
123R	Contatti e pratiche con Uffici/Enti, istituzioni varie.;
124R	Supervìsfone e controllo del personale sottoposto;
125R	Relazione inerente le cure infermieristiche attuate al fine di garantire continuità assistenziale in caso di ospedalizzazione/presa in carico da parte di una struttura socio sanitaria o dalla famiglia.;
126T	Azioni che favoriscano il mantenimento l'inserimento, o il reinserimento di una persona nel suo abituale ambiente di vita o in un nuovo ambiente, tenendo conto delle risorse disponibili.;
127T	Raccolta, schedatura e compilazione di dati a fini statistici, anche con supporto informatico. Tenuta e compilazione di registri.
128T	Inchieste epidemiologiche
129T	Opera di tutoraggio ed istruzione nei confronti di operatori e di studenti
130T	Analisi dell'ambiente domestico e proposte di cambiamenti tesi a garantire comfort e sicurezza.
131R	Accompagnamento ed assistenza spirituale e psicologica della persona in fin di vita e della sua famiglia (anche dopo il decesso).
132A	Educazione del paziente ad una corretta respirazione.
133R	Educazione e stimolazione del paziente a tossire e ad espettorare.
134R	Educazione;del paziente;a vivere;adattandosi;al proprio;handicap respiratorio.
135R	Informazioni sulla funzione respiratoria a paziente e/o famiglia.
136R	Educazione del paziente alla raccolta dell'espettorato.
137R	Rieducazione foniatrica semplice del tracheotomizzato
138R	Attività educativa al paziente tracheotomizzato o con altra limitazione respiratoria duratura (anche alla sua famiglia).
139R	Partecipazione ad azioni individuali o collettive di prevenzione ed educazione contro il tabagismo e l'inquinamento.
140A	Educazione del paziente e/o della famiglia relativa all'igiene alimentare (igiene degli alimenti, loro conservazione, attività che favoriscono l'alimentazione). Educazione  del paziente  e/o  della  famiglia  all'adattamento della sua alimentazione alla propria condizione di salute e al rispetto di un eventuale regime dietetico prescritto. Educazione del paziente e della famiglia all'igiene kientale. Educazione del paziente e/o della famiglia all'uso di ausili nella alimentazione. Relazione di;aiuto terapeutico relativa ai problemi psicologici del comportamento alimentare
141R	Formazione del paziente e/o della famiglia alla valutazione dello stato di idratazione e alla effettuazione di un bilancio idrico.
142R	Individuazione delle possibilità di alimentazione di un paziente sulla base delle sue credenze religiose.
143T	Pianificazione assieme al paziente e/o alla sua famiglia di un programma globale di assistenza infermieristica relativa alla alimentazione.
144T	Sorveglianza nutrizionali.;del;regime;alimentare;del neonato;che;presenta;turbe
145T	Controllo dell'igiene e dell'equilibrio alimentare del bambino (lattante e divezzo) e dell'adulto.
146R	Informazione del paziente e/o della famiglia relativa a: funzioni urinarie;;acquisizione di un regolare ritmo di minzione; valutazione e registrazione della diuresi; igiene personale;;regimi alimentari particolari.
147T	Educazione del paziente e/o famiglia all'uso di presidi di supporto.
148T	Insegnamento al paziente e/o famiglia del cateterismo a intermittenza.
149A	Educazione del paziente e/o famiglia in caso di stomia/e urinaria/e.
150R	Addestramento del paziente e/o famiglia in caso di dialisi renale domiciliare
151R	Addestramento del paziente e/o famiglia in caso di dialisi peritoneale domiciliare.
152R	Riabilitazione del paziente che presenta turbe psicologiche;del comportamento legate alla eliminazione urinaria.
153R	Elaborazione di un piano di rieducazione vescicale.
154R	Insegnamento al paziente e/o alla famiglia di: norme di idratazione/alimentazione funzionali ad una buona eliminazione; valutazione della qualità e dell'aspetto delle feci; protezione efficace della cute perineale in caso di diarrea o incontinenza; norme di igiene specifiche della regione perineale nella femmina e nel;maschio (bambini e adulti).;
155R	Insegnamento al paziente e/o alla sua famiglia dei mezzi e délle misure che permettono di evitare la propagazione di un contagio per malattia a trasmissione oro-fecale.;
156A	Educazione del paziente e/o della sua famiglia in caso di stomia intestinale.;
157R	Riadattamento del paziente che presenta;turbe psicologiche del comportamento legate alla evacuazione intestinale.;
158R	Insegnamento al paziente sull'utilizzo dei mezzi che riducono il disagio dovute alla sudorazione.
159R	Informazione sul ciclo mestruale, sulla funzione riproduttiva, sulla necessità di controllo medico regolare.;
160R	Insegnamento al paziente e/o alla sua famiglia delle posizioni e degli esercizi di addestramento alla mobilità e dell'uso di ausili alla deambulazione. Educazione ed altre azioni informative al paziente e/o alla famiglia riguardo a norme di igiene e di comportamento da tenere in rapporto a patologie che alterino le possibilità di movimento e di mantenere una posizione eretta. Relazione di aiuto terapeutico in caso di non coordinazione, di instabilità motoria, di carenze nel controllo gestuale.
161R	Aiuto alla distensione e al rilassamento. Azione educative nei confronti del paziente e/o della sua famiglia riguardo ai diversi fattori favorenti un buon riposo o sonno. Azioni educative nei confronti del paziente e/o della sua famiglia riguardo all'uso di farmaci ipnoinducenti. Azioni educative nei confronti della famiglia sulle condizioni di sicurezza da realizzare per consentire il sonno ad un congiunto. Relazione di aiuto terapeutico per indurre il sonno e/o per alleviare l'insonnia.
162A	lnformazìoni del paziente e/o della sua famiglia per quanto concerne la scelta deg1i indumenti appropriati, la loro cura, ecc.. Educazione del famigliare e/o del paziente a vestirsi e svestirsi, anche con l'uso di ausili in rapporto a particolari condizioni (patologie invalidanti, protesi). Relazione di aiuto terapeutico in rapporto «all'immagine di se» del paziente anche rispetto all'uso di protesi. Scelta o aiuto nella scelta con il paziente e/o i suoi familiari di un abbigliamento adeguato secondo le sue attività, la sua cultura, le sue idee, il suo stato sociale.
163R	Informazioni sulle diverse modalità di rilevazione della temperatura corporea.;
164R	Informazioni al paziente e/o ai suoi familiari sulle conseguenze di un rialzo o di un abbassamento della temperatura corporea (anche nel bambino).
165R	Educazione del paziente e/o dei suoi familiari sull'uso degli indumenti e della gestione dell'ambiente per garantire una temperatura corporea adeguata.
166R	Insegnamento al paziente e/o ai suoi familiari: dei mezzi per scaldare/raffreddare il corpo; delle modalità di gestione di una terapia antipiretica; delle norme di alimentazione e Jdratazione in rapporto a particolari condizioni climatiche o soggettive; degli effetti dell'alcool sulla termoregolazione.
167R	Informazioni ed educazione del paziente e/o della sua famiglia sulla importanza di una corretta igiene del corpo e sulle relative tecniche da porre in essere per mantenerla. Informazione e istruzione del paziente e/o della sua famiglia sull'uso di ausili e kii altri mezzi che favoriscono l'igiene personale.
168R	Insegnamento al paziente e/o alla sua famiglia: della prevenzione degli incidenti e delle malattie in rapporto all'età; della cura dell'ambiente domestico e della riduzione dei pericoli in esse presenti; degli stili di vita pericolosi per la salute; delle conseguenze dovute all'uso di sostanze tossiche delle tecniche di aiuto a superare e/o prevenire l'ansia.
169R	Relazione di aiuto e sostegno psicologico.
170R	Osservazione e sorveglianza delle turbe del comportamento.
171R	Colloquio di accoglienza e di orientamento.
172R	Organizzazione e animazione di attività a scopo socioterapeutico.
173A	Altre attività di assistenza infermieristica e mediazione corporea: cure estetiche, maternage, visualizzazione, ecc.
174R	Conduzione di gruppi di coetanei, di coetnici, di gruppi della medesima religione su argomenti sanitari.
175R	Conduzione. di un colloquio e di una relazione di aiuto con il supporto di un interprete (escluso l'onorario per l'interprete).
176T	Identificazione dei fattori ambientali che favoriscono/ostacolano la comunicazione. Osservazione e valutazione degli stimoli sensoriali relativi alla comunicazione.
177T	Partecipazione nell'ambito di una équipe multidisciplinare alle tecniche di mediazione a scopo psicoterapeutico.
178R	Informazioni al paziente e/o ai suoi familiari, per quanto attiene le specifiche esigenze spirituali, sulle possibilità offerte;dall'ambiente e sulle condizioni favorenti/impedenti correlate alla malattia. Informazioni al paziente e/o alla sua famiglia sulle pratiche religiose in contrasto con le necessità sanitarie. Altre attività di aiuto all'esercizio delle azioni connesse al rispetto del credo religioso del paziente e/o della sua famiglia.
179R	Aiuto a scoprire le risorse dell'ambiente in cui si vive, allo scopo di realizzare se stessi. Aiuto a scoprire e sviluppare le risorse personali. Mantenimento o riapprendimento dei principi di base della vita di collettività. Ricerca e sviluppo di attività in rapporto con le possibilità fisiche, intellettuali, affettive di un soggetto, anche in collaborazione con i congiunti.;
180T	Analisi;degli interessi;del;paziente. Valutazione dell'appropriatezza delle;iniziative previste rispetto agli interessi del paziente e del grado dì efficacia dei risultati conseguiti.;
181R	Inventario dei mezzi ricreativi offerti dall'ambiente. Informazione rivolta al paziente ed alla sua famiglia relativa alle attività ricreative appropriate alla età, alla cultura, allo stato di salute, all'handicap e pianificazione delle medesime.
182R	Accompagnamento e/o partecipazione del personale curante alle attività ricreative del paziente o di un gruppo di malati e collaborazione con i lorc congiunti.
183T	Analisi dei gusti del paziente.
184T	Valutazione della realizzazione delle iniziative ricreative proposte in rapporto al benessere dei pazienti.
185T	Aiuto nella ricerca di posizioni confortevoli che consentano attività di svago, anche con l'uso di ausili.
186R	Identificazione dei mezzi esistenti e delle persone che possono favorire 'apprendimento e la motivazione del paziente e/o della sua famiglia sul progetto educativo. Applicazione al paziente dei principi pedagogici ad ogni fase di apprendimento rispettando un ritmo adeguato al suo stato di salute e/o conoscenza
187T	Analisi delle motivazioni e degli interessi del paziente. 
188T	Valutazione del livello di conoscenze, delle capacità di memorizzazione, dell'apprendimento, del linguaggio utilizzato da parte del paziente e/o da chi gli sta intorno
189T	Valutazione degli stimoli sensoriali necessari ad accompagnare le azioni di apprendimento.
190T	Valutazione del grado di apprendimento ed eventuali modifiche del progetto assieme agli altri operatori sanitari.







