testo_corretto;count
terapia ipodermico;17
terapia intramuscolo;17
gestione e sostituzione catetere vescicale;17
prevenzione e trattamento lesioni da pressione;17
terapia;17
educazione terapeutica in relazione ai bisogno assistito caregiver;17
rilievo parametri vitale;17
educazione al caregiver caregiver;17
ed sanitario;17
supporto caregiver caregiver;16
fasciatura e bendaggio;16
fasciatura semplice;16
gestione del dolore;16
sondino naso gastrico;16
gestione c v;16
somministrazione terapia endovenoso;16
posizionamento e gestione accesso venoso;16
accesso venoso;16
medicazione lesioni cutaneo;15
esecuzione elettrocardiogramma;15
gestione gastrostomia endoscopica percutanea sondino naso gastrico;15
terapia idratante;15
prelievo arterioso;15
medicazione lesioni vascolare;15
valutazione multidimensionale;15
parametri;15
gestione e sostituzione gastrostomia endoscopica percutanea;15
monitoraggio clinico assistenziale;15
idratazione;15
posizionamento sondino naso gastrico;15
supporto al follow up;15
rilevazione parametri vitali;15
emotrasfusione;14
valutazione del setting domiciliare;14
sostituzione catetere;14
esame ematico;14
gestione terapia endovenoso;14
sostituzione sondino naso gastrico;14
bendaggio elastocompressivo compressivo;14
gestione terapia;14
medicazione semplice e gestione delle complicanza assistenziale;14
gestione catetere venoso centrale e periferico;13
gestione peripherally inserted central catheter port-a-cath;13
gestione gastrostomia endoscopica percutanea e sondino naso gastrico;13
gestione;13
gestione dolore;13
gestione terapia infusiva;13
sotto cutanea;13
inserimento catetere vescicale;13
cambio medicazione;12
gestione sostituzione gastrostomia endoscopica percutanea;12
gestione nefrostomia;12
valutazione;12
gestione urostomia;12
medicazione semplice e avanzato;12
ferita chirurgico;12
flebo terapia;12
trasfusione;12
gestione funzione urinario;12
rettoclisi;12
medicazione decubito;12
gestione ferita chirurgico;12
gestione accesso venoso periferico e centrale;12
supporto al caregiver caregiver;12
rilevamento parametri vitale;12
sorveglianza infermieristico;11
rilevazione dei parametri vitale;11
sostegno psicologico;11
terapia venoso;11
endovena;11
medicazione semplice complesso;11
gestione sondino naso gastrico gastrostomia endoscopica percutanea;11
misurazione parametri;11
valutazione sintomo;11
supporto al lutto;11
terapia endovena sottocute;11
monitoraggio clinico;11
terapia endovena instramuscolare sottocute;11
trattamento lesioni trofico;11
aspirazione tracheale;10
terapia infusionale endovenoso;10
gestione elastomero;10
peripherally inserted central catheter;10
posizionamento accesso venoso;10
somministrazione terapia intramuscolare;10
medicazione stomie;10
somministrazione farmaco;10
medicazione varie;10
medicazione piede diabetico;10
valutazione multidisciplinare;10
gestione colonstomia;10
valutazione setting domiciliare;10
prelievo ematico venoso;10
bendaggio compressivo;10
medicazione drenaggio;10
prevenzione;10
consegna materiale;10
terapia del dolore;10
esecuzione prelievo ematico;10
relazione d aiuto assistito caregiver;10
gestione peripherally inserted central catheter midline;10
gestione linea infusiva;10
monitoraggio dolore;10
gestione net;10
gestione nutrizione enterale e parenterale;10
rimozione punti;9
tracheostomia;9
colloquio infermieristico;9
terapia endovenosa;9
gestione catetere centrale;9
medicazione ulcera vascolare;9
posizionamento e gestione catetere venoso;9
valutazione mono multiprofessionale;9
gestione enterostomia;9
prelievo ematico posizionamento e gestione catetere vescicale medicazione chirurgico medicazione lesione da pressione posizionamento gestione sondino naso gastrico terapia iniettivo instramuscolare sottocute endovena gestione alvo gestione npt da peripherally inserted central catheter e port-a-cath a catetere prelievo arterioso per emogasanalisi prelievo;9
gestione midline;9
ascolto attivo;9
terapia i m;9
controllo parametri;9
gestione infusione;9
gestione port-a-cath a catetere;9
gestione accesso centrale;8
colloquio con i familiare;8
terapia endovena sottocute instramuscolare;8
sostituzione gestione catetere vescicale;8
sedazione palliative;8
medicazione arto inferiore;8
posizionamento ago cannula;8
gestione e posizionamento catetere vescicale;8
medicazione e bendaggio;8
igiene personale;8
medicazione e lavaggio catetere venoso centrale;8
supporto alla famiglia;8
gestione terapia parenterale;8
terapia intramuscolare e sotto cutanea;8
medicazione lesioni decubito;8
gestione cateterismo;8
terapia antalgico;8
controllo dolore;8
supporto relazione;8
gestione terapia endovena;8
colloquio familiare;8
drenaggio;8
prelievo del sangue;8
gestione dell alvo;8
medicazione peripherally inserted central catheter midline;8
gestione cateterismo urinario;8
gestione sostituzione catetere vescicale;8
nutrizione enterale e parenterale;8
gestione peripherally inserted central catheter catetere venoso centrale;8
medicazione vascolare;8
relazione d aiuto;8
educazione paziente e caregiver;8
terapia infusiva endovenoso;7
controllo gastrostomia endoscopica percutanea;7
medicazione ulcera trofico;7
iniezione;7
terapia orale;7
prevenzione e gestione della stipsi;7
gestione accesso vascolare centrale;7
educazione sanitario caregiver;7
medicazione ulcera venoso;7
sostituzione sonda vescicale;7
educazione sanitario caregiver caregiver;7
gestione fleboclisi;7
terapia infusionale endovena;7
posizionamento sostituzione catetere vescicale;7
visita congiunto con millimetri di mercurio;7
gestione pompa elastomerico;7
gestione evacuazione;7
supporto familiare;7
prelievo terapia anticoagulante orale;7
elastomero;7
terapia endovenoso in infusione;7
medicazione ulcera da decubito;7
terapia antibiotico;7
trasferimento competenze;7
terapia antibiotico endovena;7
infusione terapia endovenoso;7
terapia instramuscolare e sottocute;7
iniezione intramuscolare;7
ascolto;7
colloquio con familiare;7
educazione addestramento;7
medicazione accesso vascolare;7
sostituzione e gestione catetere vescicale;7
gestione nutrizione enterale parenterale;7
medicazione ferita;7
consulenza;7
educazione del caregiver;6
aspirazione endotracheale;6
trattamento ferita chirurgico drenaggio;6
gestione terapia orale;6
aspirazione;6
infusione terapia endovena;6
monitoraggio parametri vitali;6
gestione accesso venoso stabile;6
infusione sotto cutanea;6
infusione liquido;6
idratazione endovena;6
lesioni da pressione;6
terapia endovenoso e sotto cutanea;6
terapia infusiva endovena;6
gestione gastrostomia endoscopica percutanea tracheostomia;6
lesioni da decubito;6
tampone;6
gestione medicazione complesso;6
educazione sanitario al caregiver caregiver;6
controllo sintomo;6
valutazione infermieristico;6
colloquio con caregiver;6
esecuzione clistere evacuativo;6
gestione sondino nasogastrico;6
reperimento accesso venoso;6
gestione lesioni da pressione;6
cambio e gestione catetere vescicale;6
somministrazione fleboclisi;6
gestione lesioni;6
intervento di supporto;6
esecuzione clistere;6
formazione caregiver;6
peretta evacuativo;6
cambio e gestione gastrostomia endoscopica percutanea;6
gestione paziente in cura palliative;6
educazione sanitario al caregiver;6
medicazione piaga da decubito;6
lavaggio port-a-cath;6
rimozione punti sutura;6
inserimento catetere venoso;6
rilievo parametri;6
valutazione dei sintomo;6
educazione alimentare;6
terapia iniettivo sotto cutanea;5
accesso venoso periferico;5
mobilizzazione paziente;5
lavaggio peripherally inserted central catheter;5
prevenzione lesioni da pressione;5
lesione da decubito;5
terapia iniettivo intramuscolare;5
instramuscolare;5
catetere venoso periferico;5
lesione da pressione;5
fasciatura bendaggio;5
istruire caregiver caregiver;5
ricognizione terapeutica;5
medicazione complesso e semplice;5
colonstomia;5
terapia enterale;5
educazione alla prevenzione;5
valutazione monoprofessionale;5
gestione delle stomie;5
clima evacuativo;5
terapia s c;5
educazione socio sanitario;5
gestione sondino naso gastrico e gastrostomia endoscopica percutanea;5
somministrazione farmaco endovena;5
posizionamento accesso venoso periferico;5
assistenza emotrasfusione;5
medicazione ulcera da pressione;5
prelievo capillare terapia anticoagulante orale;5
piaga da decubito;5
esplorazione rettale;5
clistere evacuante;5
valutazione del dolore;5
gestione fleboterapia;5
gestione pompa antalgico;5
alimentazione parenterale;5
gestione gastrostomia endoscopica percutanea digiunostomia endoscopica percutanea;5
educazione del caregiver caregiver;5
analisi dei bisogno;5
sostituzione di catetere vescicale;5
somministrazione terapia sotto cutanea;5
pompa elastomerico;5
gestione peripherally inserted central catheter e port-a-cath;5
bendaggio elastocompressivo arto inferiore;5
gestione catetere venoso centrale e catetere venoso periferico;5
prelievo sangue;5
gestione catetere venoso centrale peripherally inserted central catheter;5
applicazione catetere vescicale;5
supporto;5
gestione paziente oncologico;5
bendaggio arto;5
addestramento del caregiver;5
medicazione lesioni da compressione;5
prelievo ematico e microbiologico;5
terapia nutrizionale parenterale;5
gestione del catetere vescicale;5
addestramento familiare;5
gestione terapia endovenosa;5
medicazione nefrostomia;5
cateterismo urinario;4
terapia infusione;4
somministrazione terapia orale;4
supporto familiari;4
somministrazione terapia infusiva;4
supporto al paziente;4
esame strumentale;4
educazione e counselling;4
educazione al paziente;4
somministrazione terapia parenterale;4
terapia endovena e sottocute;4
cateterismo estemporaneo;4
educazione gestione stomie;4
cateterizzazione vescicale;4
somministrazione nutrizione parenterale totale;4
terapia infusiva sotto cutanea;4
somministrazione endovenoso;4
collaborazione con millimetri di mercurio;4
sorveglianza;4
terapia endovenoso sotto cutanea;4
educazione prevenzione;4
esecuzione clisma evacuativo;4
somministrazione nutrizione parenterale;4
sostituzione tracheostomia;4
educazione alla mobilizzazione;4
educazione paziente e caregiver caregiver;4
educazione paziente;4
rilevazione glicemia;4
terapia anticoagulante orale;4
educazione alla salute;4
sostituzione e gestione gastrostomia endoscopica percutanea;4
sostegno alla famiglia;4
medicazione piaga;4
gestione derivazione urinario;4
nutrizione parentale;4
prelievo campione biologico;4
medicazione port-a-cath;4
gestione della gastrostomia endoscopica percutanea;4
trattamento ferita chirurgico;4
medicazione da pressione;4
iniezione sotto cutanea;4
infusione venoso;4
prelievo ematico domiciliare;4
prelievo ematico e capillare;4
gestione catetere vescicale a permanenza;4
bendaggio anelastico;4
gestione sostituzione catetere venoso;4
prelievo microbiologico;4
bendaggio elastico;4
prelievo di sangue venoso;4
assistenza catetere venoso centrale;4
addestramento educazione;4
percorso diagnostico terapeutico assistenziale scompenso;4
terapia sottocute instramuscolare;4
gestione e posizionamento gastrostomia endoscopica percutanea;4
gestione foley vescicale;4
gestione e medicazione accesso venoso centrale;4
gestione via urinario;4
medicazione di ulcera;4
gestione terapia del dolore;4
gestione funzione evacuativo;4
posizionamento gastrostomia endoscopica percutanea;4
gestione gastro tube;4
medicazione peripherally inserted central catheter e midline;4
igiene e mobilizzazione;4
gestione gastrostomia endoscopica percutanea e stomie;4
medicazione di vario genere;4
posizionamento e gestione catetere venoso periferico;4
gestione ne nutrizione parenterale totale;4
inserimento mini midline;4
terapia endovena instramuscolare;4
terapia instramuscolare sottocute;4
cambio c v;4
gestione nutrizione;4
prevenzione e trattamento lesione da pressione;4
medicazione ulcera arto inferiore;4
presa in carico;4
ipodermico;4
mobilizzazione di base;4
lavaggio catetere vescicale;4
terapia iniettivo endovenoso;4
gestione paziente terminale;4
gestione peripherally inserted central catheter midline port-a-cath;4
lavaggio vescicale;4
cambio sondino naso gastrico;4
gestione emergenza;4
intramuscolare;4
gestione medicazione semplice;4
gestione medicazione semplice e complesso;4
inserimento ago cannula;4
inserimento catetere venoso periferico;4
preparazione farmaco;4
gestione cannula tracheale;4
monitoraggio sintomo;4
preparazione terapia orale;4
bendaggio semplice e complesso;4
valutazione dolore;4
bendaggio vascolare;4
gestione alimentazione parenterale;4
gestione terapia parenterale enterale;3
gestione sondino nasogastrico e gastrostomia endoscopica percutanea;3
medicazione lesioni neoplastico;3
sostituzione foley;3
gestione port-a-cath catetere;3
gestione sondino;3
medicazione lesioni varie;3
sostituzione elastomero;3
gestione port-a-cath e catetere venoso centrale;3
gestione sintomo;3
medicazione midline peripherally inserted central catheter;3
gestione stomie urostomia;3
drenaggio toracico;3
gestione sacca nutrizionale;3
gestione sostituzione sondino naso gastrico;3
sostituzione gestione gastrostomia endoscopica percutanea;3
educazione addestramento caregiver caregiver;3
medicazione catetere venoso centrale peripherally inserted central catheter midline;3
contatto telefonica;3
t endovena;3
iniezione intramuscolo;3
tampone covid;3
consulenza infermieristico;3
insegnamento educazione;3
medicazione bendaggio;3
inserimento accesso venoso;3
gestione pompa infusionale;3
consegna farmaco;3
intervento di educazione sanitario;3
med semplice;3
med peripherally inserted central catheter;3
intramuscolo sotto cutanea;3
istruzione al caregiver;3
terapia endovena e parenterale;3
lesioni vascolare;3
compilazione cartella infermieristico;3
inserimento e sostituzione catetere vescicale;3
gestione terapia sotto cutanea;3
gestione tracheostomia e gastrostomia endoscopica percutanea;3
supporto ai caregiver caregiver;3
medicazione lesione;3
medicazione l d d;3
gestione ventilazione meccanico;3
glicemia;3
idratazione parenterale;3
counselling stile di vita;3
controllo del dolore;3
counselling infermieristico;3
igiene della persona;3
medicazione e gestione gastrostomia endoscopica percutanea;3
medicazione e gestione catetere venoso centrale;3
informazione;3
supporto medico;3
medicazione di lesioni;3
infusione di terapia endovena;3
infusione e v;3
infusione endovena sottocute;3
medicazione e lavaggio peripherally inserted central catheter;3
gestione cambio gastrostomia endoscopica percutanea;3
prelievo venoso e capillare;3
elastocompressivo;3
gestione catetere venoso centrale catetere venoso periferico;3
prelievo endovenoso;3
educazione tracheostomia varie;3
prelievo ematico venoso e capillare;3
rilevazione p v;3
rilevazione sintomo;3
lavoro di rete;3
prelievo capillare per;3
gestione della medicazione complesso;3
rilievo sintomo;3
gestione delle ferite;3
prelievo a domicilio;3
gestione device;3
posizionamento terapia;3
gestione di accesso venoso centrale;3
posizionamento sondino nasogastrico;3
educazione terapeutica caregiver;3
lesioni chirurgico;3
familiare gestione;3
fasciatura arto inferiore;3
punture;3
esecuzione prelievo;3
psico educazione;3
flebo sotto cutanea;3
reperire accesso venoso;3
fleboclisi ipodermoclisi;3
riempimento infusore;3
prevenzione e trattamento lesioni da decubito;3
gestione accesso periferico;3
gestione accesso periferico e centrale;3
prevenzione caduta;3
gestione accesso vascolare periferico e centrale;3
gestione accesso venoso periferico e sotto cutanea;3
emogasanalisi analisi;3
gestione alvo enterostomia;3
gestione bambino diabetico;3
gestione c vescicale;3
fornitura materiale;3
gestione gastrostomia endoscopica percutanea e nutrizione enterale;3
gestione gastrostomia endoscopica percutanea e tracheostomia;3
gestione gastrostomia endoscopica percutanea net;3
nutrizione parenterale ed enterale;3
gestione idratazione;3
nutrizione enterale parenterale;3
nutrizione artificiale domiciliare;3
net;3
gestione lesione da pressione;3
educazione sanitario e terapeutica;3
sopralluogo infermieristico;3
gestione midline peripherally inserted central catheter;3
gestione ne e nutrizione parenterale totale;3
sostegno emotivo;3
monitoraggio parametri clinica;3
gestione nutrizione parenterale e enterale;3
educazione al paziente e caregiver;3
gestione peripherally inserted central catheter e catetere venoso centrale;3
gestione peripherally inserted central catheter e midline;3
gestione medicazione;3
educazione sanitario e counselling;3
gestione di catetere vescicale;3
gestione di stomie;3
posizionamento gestione catetere vescicale;3
somministrazione endovena;3
posizionamento e sostituzione catetere vescicale;3
posizionamento e gestione sondino naso gastrico;3
gestione drenaggio toracico addominale;3
gestione e medicazione catetere venoso centrale;3
somministrazione terapia instramuscolare;3
peretta;3
educazione insegnamento;3
educazione gestione tracheostomia;3
percorso diagnostico terapeutico assistenziale bambino diabetico;3
gestione enterostomia e urostomia;3
gestione flebo;3
gestione foley;3
ossigenoterapia;3
somministrazione terapia endovena sottocute;3
orientamento ai servizio;3
gestione e medicazione peripherally inserted central catheter;3
relazione;3
colloquio con paziente e familiare;3
verifica aderenza terapeutica;3
visita;3
cambio tracheostomia;3
clisma clistere;3
visita con millimetri di mercurio;3
colloquio con caregiver caregiver;3
colloquio paziente;3
affiancamento visita specialistica;3
terapia sotto cutanea intramuscolare;3
accompagnare fine vita;3
valutazione sociale;3
terapia endovena sotto cutanea;3
terapia intradermica;3
colloquio con millimetri di mercurio;3
colloquio con famiglia;3
visita con medico specialista;3
aerosolterapia terapia;3
terapia sottocute endovena instramuscolare;3
terapia idratante sotto cutanea;3
terapia per le diverso via di somministrazione;3
aspirazione bronchiale;3
accertamento;3
terapia endovenoso idratante;3
bendaggio inferiore;3
accertamento infermieristico;3
terapia ipodermoclisi;3
cateterismo e gestione derivazione urinario;3
alimentazione enterale;3
terapia idratante endovenoso;3
bendaggio e fasciatura;3
terapia sottocute instramuscolare endovena;3
addestramento al caregiver;3
assistenza cura palliative ed elaborazione lutto;3
colloquio caregiver;3
cambio di catetere vescicale;3
visita domiciliare;3
terapia reidratante;3
colloquio paziente familiare interdisciplinare;3
valutazione parametri vitale;3
cambio cannula;3
terapia sotto cutanea e intramuscolare;3
terapia farmacologico;3
accompagnare paziente oncologico e non;3
colloquio con il paziente;3
bronco aspirazione;3
addestramento ed educazione sanitario;3
ciclo di flebo;3
valutazione bisogno assistenziale;3
terapia enterale e parenterale;3
educazione alla gestione dell alvo;2
trasferimento competenze utente;2
promozione salute;2
gestione gastrostomia endoscopica percutanea e sostituzione;2
medicazione semplice ed avanzato;2
sostegno alle famiglia;2
prelievo sangue venoso;2
valutazione globale;2
gestione terapia endovena sottocute instramuscolare;2
educazione sanitario sull alimentazione;2
educazione alla famiglia;2
educazione sanitario sull utilizzo degli ausilio;2
addestramento al caregiver caregiver;2
valutazione generale;2
valutazione fornitura ausilio;2
gestione catetere venoso centrale e peripherally inserted central catheter;2
colloquio con il caregiver;2
educazione all utente;2
sostituzione gestione catetere venoso;2
medicazione e gestione accesso vascolare;2
educazione sanitario paziente e caregiver caregiver;2
educazione alla prevenzione delle lesioni da pressione;2
idratazione sottocute;2
terapia intramuscolo e sotto cutanea;2
terapia intramuscolo o sotto cutanea;2
gestione ferita chirurgico e drenaggio;2
bendaggio elastocompressivo e semplice;2
prelievo venoso domiciliare;2
igiene del paziente;2
medicazione semplice avanzato;2
gestione stipsi;2
infusione endovena e sotto cutanea;2
sostegno al caregiver;2
prelievo urgente;2
medicazione e gestione peripherally inserted central catheter;2
educazione terapeutica al caregiver;2
sorveglianza procedure terapeutica;2
prelievo trasfusione;2
medicazione e gestione drenaggio;2
promozione della salute;2
colloquio con il caregiver caregiver;2
rimozione catetere vescicale;2
valutazione grado di autosufficienza;2
medicazione device;2
educazione sanitario supporto psicologico;2
sostegno al caregiver caregiver;2
monitoraggio del dolore;2
gestione gastrostomia endoscopica percutanea bottone;2
medicazione di lesioni vascolare;2
sostituzione e gestione catetere venoso;2
educazione activities of daily living;2
affiancamento accesso specialistica;2
sostituzione e gestione della gastrostomia endoscopica percutanea;2
medicazione semplice e gestione delle complicanza;2
prelievo esame colturale;2
educazione al caregiver caregiver paziente;2
infusione albumina;2
colloquio con familiare o caregiver;2
cambio e gestione sondino naso gastrico;2
educazione alimentazione;2
gestione catetere venoso centrale posizionamento e gestione catetere venoso periferico;2
medicazione di lesione cutaneo;2
gestione catetere venoso centrale peripherally inserted central catheter port-a-cath;2
flebo ipodermoclisi;2
gestione catetere venoso centrale port-a-cath peripherally inserted central catheter midline;2
medicazione semplice e gestione complicanza assistenziale;2
gestione catetere venoso centrale port-a-cath o peripherally inserted central catheter per nutrizione parenterale totale;2
gestione catetere venoso centrale port-a-cath peripherally inserted central catheter;2
infusione di albumina;2
educazione ai caregiver caregiver;2
educazione ai caregiver;2
medicazione di lesione da pressione;2
assessment;2
gestione gastrostomia endoscopica percutanea e net;2
sostituzione c v;2
valutazione e rilevazione parametri vitale;2
sostituzione gastrostomia endoscopica percutanea sondino naso gastrico;2
sostituzione cannula tracheale;2
sostituzione cannula tracheostomia;2
rimozione elastomero;2
terapia idratante endovena;2
infusione e iniezione;2
indagine bioumorale;2
educazione al paziente e alla famiglia;2
gestione catetere venoso centrale midline;2
gestione catetere venoso centrale peripherally inserted central catheter e port-a-cath;2
educazione supporto caregiver;2
gestione nutrizione parenterale enterale;2
colloquio con assistito;2
gestione gastrostomia endoscopica percutanea e digiunostomia;2
educazione a caregiver;2
educazione al fare caregiver;2
gestione catetere venoso periferico catetere venoso centrale;2
trasferimento competenze al caregiver;2
gestione nutrizione parenterale gestione catetere venoso centrale;2
gestione catetere venoso centrale periferico;2
addestramento ai caregiver caregiver;2
gestione nutrizione parenterale totale nutrizione artificiale domiciliare;2
gestione nutrizione parenterale gestione catetere venoso centrale peripherally inserted central catheter port-a-cath;2
prelievo occasionale;2
somministrazione di terapia;2
gestione net e nutrizione parenterale totale;2
gestione npt;2
somministrazione nutrizione enterale;2
trattamento lesioni da pressione;2
medicazione lesioni arto inferiore;2
educazione gestione terapia;2
gestione lesione da decubito;2
g gastrostomia endoscopica percutanea;2
gestione terapia sottocute;2
somministrazione di farmaco;2
bendaggio semplice;2
medicazione peripherally inserted central catheter catetere venoso centrale;2
somministrazione scale di valutazione;2
preparazione terapia farmacologico;2
educazione assistenziale;2
medicazione lesione da decubito e vascolare;2
preparazione terapia;2
valutazione stato autosufficienza;2
educazione familiare;2
gestione tracheostomia e ventilazione;2
nutrizione;2
clisma evacuante;2
somministrazione terapia e v;2
gestione tracheostomia gastrostomia endoscopica percutanea;2
educazione e supporto alla famiglia;2
terapia infusionale endovena sottocute;2
educazione e supporto al caregiver caregiver;2
somministrazione terapia endovena e sotto cutanea;2
gestione stomie intestinale;2
gestione tracheostomizzato;2
somministrazione clistere evacuativo;2
medicazione lesioni ustione;2
somministrazione farmaco instramuscolare;2
medicazione lesioni tumorale;2
somministrazione farmaco intramuscolare;2
gestione terapia enterale;2
medicazione lesioni semplice;2
addestramento educazione familiare;2
medicazione lesioni oncologico;2
somministrazione farmaco sotto cutanea;2
terapia instramuscolare sottocute endovena;2
cambiamento catetere;2
gestione terapia in elastomero;2
somministrazione flebo;2
c v;2
educazione sanitario addestramento caregiver;2
addestramento del caregiver caregiver;2
gastrostomia endoscopica percutanea gestione;2
somministrazione di terapia infusionale;2
prescrizione ausilio;2
educazione mobilizzazione;2
gestione terapia ipodermico;2
medicazione multipla;2
terapia instramuscolare e sotto cutanea;2
medicazione lesioni difficile;2
urostomia;2
educazione sanitario al paziente;2
monitoraggio sintomo disturbante;2
gestione terapia e v;2
ulcera da decubito;2
educazione sanitario ai paziente e c g;2
gestione monitoraggio percorso diagnostico terapeutico assistenziale;2
terapia instramuscolare endovena sottocute;2
gestione terapia instramuscolare sottocute;2
educazione counselling;2
prelievo venoso occasionale;2
sedazione terminale;2
valutazione ambiente;2
terapia intramuscolare sotto cutanea;2
valutazione meglio a casa;2
gestione gastrostomia endoscopica percutanea sondino naso gastrico stomie;2
medicazione port-a-cath a catetere;2
medicazione endovena;2
formazione caregiver caregiver;2
medicazione post chirurgico;2
cambio del catetere;2
medicazione e sostituzione gastrostomia endoscopica percutanea;2
gestione c v c;2
prelievo venoso e microbiologico;2
bendaggio ossido zinco;2
gestione caregiver;2
idratazione sotto cutanea;2
educazione alla salute e terapeutica;2
terapia in vena;2
sondino;2
addestramento alla famiglia;2
gestione cannula tracheostomia;2
valutazione lesione da pressione;2
nutrizione parenterale totale net;2
somministrazione terapia tramite fleboclisi;2
chemioterapia enterostomia;2
valutazione ambiente domestico;2
collaborazione con il medico curante;2
medicazione e lavaggio port-a-cath;2
bendaggio fasciatura;2
collaborazione con assistente sociale;2
educazione alle postura;2
clistere lavaggio vescicale;2
gestione infusione endovena;2
educazione e gestione presidi;2
profilassi;2
medicazione gestione e cambio gastrostomia endoscopica percutanea;2
gestione ureterostomia;2
gestione stomie gastrostomia endoscopica percutanea;2
valutazione mono o multiprofessionale;2
gestione urostomia e colonstomia;2
gestione alimentazione enterale;2
gestione idratazione sotto cutanea;2
terapia intramuscolare o sotto cutanea;2
segno vitale;2
educazione e addestramento caregiver caregiver;2
trattamento delle ferite;2
somministrazione terapia intramuscolo;2
prelievo venoso periferico;2
terapia infusionale e sotto cutanea;2
terapia infusionale e v;2
gestione alvo e clistere;2
preliminare ematico;2
prenotazione esame;2
somministrazione terapia instramuscolare e sottocute;2
gestione vaso centrale;2
gestione alvo clistere evacuativo;2
gestione nutrizione enterale domiciliare;2
somministrazione terapia infusionale;2
valutazione mono e multiprofessionale;2
terapia infusionale sotto cutanea;2
bendaggio occlusivo;2
ascolto supporto alla famiglia;2
gestione venoso centrale;2
sedazione terminale palliative;2
controllo dei parametri;2
cateterismo venoso;2
posizionamento accesso venoso e sotto cutanea;2
supporto relazione al paziente;2
controllo cavo orale;2
assistenza in cura palliative;2
prelievo arterioso per emogasanalisi;2
mediazione semplice;2
supporto relazione alla famiglia;2
cambio stomie;2
terapia sotto cute;2
terapia sotto cutaneo;2
intervento educare;2
gestione della tracheostomia;2
gestione port-a-cath peripherally inserted central catheter;2
supporto socio assistenziale;2
attivazione assistenza domiciliare integrata;2
misurazione parametri vitali;2
intervento educativo;2
riconciliazione terapia farmacologico;2
svuotamento ampolla rettale;2
visita di valutazione;2
assistenza palliative;2
contatto con millimetri di mercurio;2
gestione delle via aeree;2
intervista;2
gestione piaga da decubito;2
valutazione cognitivo funzionale;2
gestione paziente oncologico terminale;2
posizionamento ago;2
gestione e sostituzione sondino naso gastrico;2
colloquio di sostegno;2
inserimento e gestione accesso vascolare periferico;2
famiglia conferenza;2
controllo medicazione gastrostomia endoscopica percutanea;2
supporto paziente e caregiver;2
supporto paziente e famiglia;2
