index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
248;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
249;procedure clinico assistenziali;Verbandswechsel;031T;verbandswechsel
250;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
251;procedure clinico assistenziali;Bendaggio aaii;023T;bendaggio aaii
252;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
253;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
254;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
255;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
256;Medicazioni Avanzate;Medicazione;031T;medicazione
258;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
259;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
260;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
261;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo estemporaneo;033T;prelievo estemporaneo
262;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
263;Medicazione semplice;Medicazione e lavaggio di accessi vascolari centrali ed ad inserzione periferica;031T;medicazione e lavaggio di accessi vascolari centrali ed ad inserzione periferica
264;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
265;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
266;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo esami ematici;033T;prelievo esami ematici
267;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
268;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
269;Medicazioni Avanzate;Medicazioni;031T;medicazioni
270;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
271;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
272;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
273;Medicazioni Avanzate;Gestione medicazioni da decubito e ulcere vascolari;031T;gestione medicazioni da decubito e ulcere vascolari
274;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
275;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
276;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico/TAO;033T;prelievo ematicotao
277;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
278;Medicazioni Avanzate;Medicazioni;031T;medicazioni
279;procedure clinico assistenziali;Ecg;008T;ecg
280;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
282;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
283;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
284;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
285;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
286;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico/INR;033T;prelievo ematicoinr
287;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
288;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
289;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
290;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
291;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
293;Medicazioni Avanzate;Medicazioni;031T;medicazioni
294;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
295;procedure clinico assistenziali;Sostituzione cateteri vescicali;065T;sostituzione cateteri vescicali
298;procedure clinico assistenziali;Prelievo coumadin;033T;prelievo coumadin
299;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
302;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
303;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
304;Medicazioni Avanzate;Medicazioni;031T;medicazioni
305;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
306;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Accesso venoso;033T;accesso venoso
307;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
308;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
309;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
310;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
311;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
312;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
313;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
314;Medicazione semplice;Medicazioni semplice;031T;medicazioni semplice
315;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;033T;gestione accessi venosi
316;Medicazioni Avanzate;Lesioni da decubito;033T;lesioni da decubito
317;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
318;procedure clinico assistenziali;Catetere vescicale;065T;catetere vescicale
319;Medicazioni Avanzate;Medicazioni lesioni;031T;medicazioni lesioni
320;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
321;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
322;Medicazioni Avanzate;Medicazioni;031T;medicazioni
323;Medicazione semplice;Medicazione semplice;031T;medicazione semplice
325;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
326;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
327;procedure clinico assistenziali;Catetere;065T;catetere
328;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
329;procedure clinico assistenziali;Cambio Catetere vescicale;065T;cambio catetere vescicale
330;procedure clinico assistenziali;Bendaggio aaii;023T;bendaggio aaii
331;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
332;Medicazioni Avanzate;Medicazioni Ldd;031T;medicazioni ldd
