testo_pulito;count
somministrazione terapia ev;16
medicazione lesioni;16
educazione terapeutica in relazione ai bisogni assistito caregiver;15
supporto al caregiver;15
medicazioni peg;15
supporto care giver;15
ega;15
parametri;15
idratazione;14
posizionamento e gestione accessi venosi;14
terapia idratante;14
medicazioni accessi venosi centrali;14
gestione cateteri venosi;14
esami ematici;14
ed sanitaria;13
monitoraggio clinico assistenziale;13
supporto al follow up;13
cambio cateteri vescicali;13
gestione tracheotomia;13
esecuzione ecg;13
gestione e sostituzione peg;13
medicazione lesioni da decubito;13
somministrazione terapia endovenosa;13
infusione;13
fasciature e bendaggi;13
gestione dolore;13
gestione e sostituzione catetere vescicale;13
medicazione ferita chirurgica;12
medicazioni picc;12
gestione funzione urinaria;12
rilevazione pv;12
inserimento catetere vescicale;12
valutazione del setting domiciliare;12
prelievo capillare;12
supporto al care giver;12
terapia intramuscolo;12
bendaggio arti inferiori;12
rettoclisi;12
valutazione multidimensionale;12
gestione accessi venosi periferici e centrali;11
cambi catetere;11
prelievo arterioso;11
sostituzioni cateteri vescicali;11
gestione peg e sng;11
rilevamento parametri vitali;11
medicazione complesse;11
medicazioni lesioni vascolari;11
sorveglianza infermieristica;11
gestione terapia endovenosa;11
ferite chirurgiche;11
endovena;11
posizionamento sng;11
gestione catetere vescicali;11
sng;11
gestione urostomie;10
gestione terapia infusiva;10
monitoraggio clinico;10
sostegno psicologico;10
prelievi di sangue;10
valutazione sintomi;10
cambi cateteri vescicali;10
gestione catetere;10
gestione net;10
cambio cateteri;10
medicazioni semplici e gestione delle complicanze assistenziali;10
gestione linee infusive;10
infusioni ev;10
supporto al lutto;10
medicazione ldd;10
medicazione lesioni da pressione;10
gestione pic;10
gestione peg sng;10
gestione nutrizione enterale e parenterale;10
prevenzione;10
verbandswechsel;10
medicazioni varie;10
somministrazione farmaci;10
somministrazione terapia intramuscolare;10
terapia e v ;9
sottocute;9
ascolto attivo;9
flebo terapia;9
monitoraggio dolore;9
trattamento lesioni trofiche;9
prelievo ematici;9
nutrizioni parenterali;9
controllo parametri;9
terapia;9
emotrasfusioni;9
misurazione parametri;9
consegna materiale;9
rilevazione dei parametri vitali;9
prelievo ematochimico;9
prelievo di sangue;9
gestione terapia;9
prelievo ematico  posizionamento e gestione catetere vescicale  medicazione chirurgica  medicazioni ldp  posizionamento gestione sng  terapia iniettiva im  sc  ev  gestione alvo  gestione ntp da picc e porth a cath  prelievo arterioso per ega  prelievo ca;9
sostituzione sng;9
medicazioni semplici e avanzate;9
catetere;9
trasfusioni;9
rilevazioni parametri;9
aspirazione tracheale;9
terapia infusionale endovenosa;8
gestione sondino naso gastrico;8
gestione c v;8
picc;8
medicazioni udp;8
infusioni endovenose;8
infusione ev;8
medicazione tracheostomia;8
medicazione udp;8
gestione sng peg;8
tev;8
supporto alla famiglia;8
drenaggi;8
gestione cateteri venosi periferici;8
relazione d aiuto;8
prelievo domiciliare;8
terapia antalgica;8
gestione cateteri venosi centrali e periferici;8
gestione cateterismo;8
gestione cateteri;8
fasciature semplici;8
fasciatura;8
terapia del dolore;8
valutazione setting domiciliare;8
supporto relazionale;8
controllo dolore;8
gestione midline;8
medicazioni lesioni cutanee;8
gestione nefrostomie;8
gestione terapia infusionale;8
terapia ipodermica;7
accessi venosi;7
ascolto;7
igiene personale;7
gestione c v ;7
medicazione pic;7
catetere vescicali;7
prevenzione e gestione della stipsi;7
infusionen;7
posizionamento e gestione cv;7
controllo peg;7
relazione d aiuto assistito caregiver;7
gestione enterostomie;7
trasferimento competenze;7
medicazione accessi venosi centrali;7
medicazioni drenaggi;7
esecuzione prelievi ematici;7
terapia venosa;7
tpn;7
terapia endovenosa in infusione;7
clismi;7
colloquio infermieristico;7
valutazione;7
prelievo ematico venoso;7
bendaggi compressivi;7
valutazione multidisciplinare;7
sostituzione catetere;7
clismi evacuativi;7
sedazione palliativa;7
medicazioni stomie;7
gestione accessi vascolari centrali;7
medicazioni accessi venosi;7
gestione sostituzione peg;7
gestioni cvc;7
posizionamento cateteri vescicali;7
gestione port a cath;7
counselling;7
gestione catetere venoso periferico;6
gestione lesioni;6
bendaggi elasto compressivi;6
gestione picc midline;6
terapie intramuscolari;6
somministrazione fleboclisi;6
enteroclisma;6
monitoraggi;6
medicazione lesioni cutanee;6
gestione fleboclisi;6
gestione picc port;6
gestione accessi centrali;6
gestione dell alvo;6
medicazioni e bendaggi;6
educazione sanitaria al care giver;6
cambio e gestione catetere vescicale;6
educazione sanitaria al caregiver;6
rimozione punti;6
gestione terapie infusionali;6
gestione elastomeri;6
gestione evacuazione;6
cambio e gestione peg;6
rimozione punti sutura;6
terapie sottocutanee;6
gestione e posizionamento catetere vescicale;6
terapia e v;6
terapie im;6
educazione sanitaria care giver;6
medicazioni semplice;6
medicazione piede diabetico;6
gestione terapia parenterale;6
educazione del caregiver;6
lesioni da decubito;6
controllo sintomi;6
rilevazioni parametri vitali;6
gestione sostituzione catetere vescicale;6
medicazioni vascolari;6
educazione alimentare;6
terapie infusionale;6
gestione terapia orale;6
aspirazione endotracheale;6
aspirazione;6
terapia intramuscolare e sottocutanea;6
medicazione accessi venosi;6
gestione porth;6
gestione ferite chirurgiche;6
gestione pompa elastomerica;6
valutazione dei sintomi;6
terapia orale;6
gestione tpn;6
sostituzione sonda vescicale;6
inserimento cv;6
gestione cateterismo urinario;6
elettrocardiogramma;6
tamponi;5
sostituzione gestione catetere vescicale;5
gestione tev;5
gestione delle stomie;5
prevenzione lesioni da pressione;5
terapia ev im sc;5
bendaggio elasto compressivo;5
medicazioni ulcere vascolari;5
gestione accesso venoso;5
emotrasfusione;5
terapie ipodermiche;5
terapia iniettiva sottocutanea;5
gestione fleboterapia;5
medicazioni ulcere da decubito;5
gestione accesso venoso centrale;5
controlli parametri vitali;5
terapia iniettiva intramuscolare;5
medicazione semplice e complessa;5
sostituzione e gestione catetere vescicale;5
perette evacuative;5
medicazione picc midline;5
gestione terapia ev;5
educazione socio sanitaria;5
clisma evacuativi;5
istruire care giver;5
elastomeri;5
supporto;5
infusione liquidi;5
posizionamento ago cannula;5
medicazioni ;5
terapia infusionali;5
gestione colonstomie;5
rilievo parametri;5
gestione sng e peg;5
gestione del catetere vescicale;5
terapia infusiva endovenosa;5
prelievi capillari;5
posizionamento accesso venoso;5
gestione drenaggio;5
terapia i m;5
cateteri vescicale;5
accessi venosi periferici;5
medicazioni lesioni da compressione;5
gestione catere vescicale;5
educazione sanitaria caregiver;5
ldp;5
colloquio con i familiari;5
esplorazione rettale;5
ricognizione terapeutica;5
gestione caterismo vescicale;5
monitoraggio pv;5
educazione addestramento;5
uvm;5
gestione cateteri vescicale;5
medicazione ulcere;5
medicazione avanzata;5
infusione terapia endovenosa;5
visite congiunte con mmg;5
fasciatura semplice;5
prelievi tao;5
valutazione mono multiprofessionale;5
iniezioni;5
gestione peg pej;5
im;5
infusione terapia ev;5
valutazione infermieristica;5
lesioni da pressione;5
medicazione lesione da pressione;5
analisi dei bisogni;5
accesso venoso;5
somministrazione farmaci ev;5
terapia antibiotica;4
educazione paziente e caregiver;4
prelievi ematici e capillari;4
sostituzioni cateteri;4
esami strumentali;4
cambi catetere vescicale;4
gestione cateteri centrali;4
ldd;4
prelievi microbiologici;4
educazione  sanitaria;4
sostituzione e gestione peg;4
idratazione ev;4
sostituzioni peg;4
nutrizione parentale;4
terapie endovena;4
gestione medicazioni semplici e complesse;4
presa in carico;4
terapie e v ;4
emogasanalisi;4
nutrizione enterale e parenterale;4
medicazione tracheotomia;4
prevenzione e trattamento lesione da pressione;4
gestione e posizionamento peg;4
lavaggio port;4
medicazioni arti inferiori;4
tao;4
piaghe da decubito;4
clima evacuativo;4
sostituzione sondino naso gastrico;4
cateterismo vesciale;4
ed  sanitaria;4
medicazione semplici e complesse;4
nutrizioni enterali;4
gestione derivazioni urinarie;4
consulenza;4
elettrocardiogrammi;4
sostegno alla famiglia;4
gestione catetere venosi centrali;4
collaborazione con mmg;4
educazione alla salute;4
tp infusionale;4
medicazioni pic;4
gestione tracheotomie;4
educazione gestione stomie;4
alimentazione parenterale;4
medicazione lesione da decubito;4
medicazione cateteri venosi centrali;4
educazione alla prevenzione;4
terapia iniettiva endovenosa;4
somministrazione terapia orale;4
prelievi arteriosi;4
gestione  cvc;4
cvp;4
valutazione monoprofessionale;4
terapie sottocute;4
mobilizzazione paziente;4
terapia ev sc;4
supporto al paziente;4
medicazioni complesse e semplici;4
gestione lesioni da pressione;4
medicazione arti inferiori;4
medicazione accesso venoso centrale;4
educazione alla mobilizzazione;4
gestione cat vescicale;4
colloquio con caregiver;4
sondino naso gastrico;4
supporto familiare;4
terapia infusionale ev;4
gestione infusioni;4
couseling;4
sorveglianza;4
educazione del care giver;4
pdta scompenso;4
medicazioni decubiti;4
gestione vie urinarie;4
applicazione catetere vescicale;4
trattamenti ferite chirurgiche drenaggi;4
assistenza emotrasfusione;4
gestione catetere centrale;4
gestione gastrotube;4
gestione peg e stomie;4
medicazioni piede diabetico;4
terapia im e sc;4
pompe elastomeriche;4
prelievi del sangue;4
medicazione decubiti;4
somministrazione terapie ev;4
medicazioni di vario genere;4
valutazione del dolore;4
trattamento ferite chirurgiche;4
gestione catetere vescicale a permanenza;4
addestramento educazione;4
bendaggio elastocompressivi;4
posizionamento catetere venoso periferico;4
formazione caregiver;4
gestione accessi venoso centrali;4
medicazione accessi vascolari;4
gestione picc cvc;4
gestioni peg;4
gestione terapia del dolore;4
gestione cvc e cvp;4
terapie intramuscolo;4
gestione emergenza;4
educazione paziente;4
posizionamento accessi venosi;4
gestione  peg;4
gestione elastomero;4
terapie parenterali;4
gestione della peg;4
terapia ev e sc;4
somministrazione endovenosa;4
educazione paziente e care giver;4
bendaggi vascolari;4
medicazione lesioni vascolari;4
medicazioni ferite;3
terapia antibiotica ev;3
medicazioni semplici complesse;3
supporto medico;3
medicazioni ulcere arti inferiori;3
medicazioni semplici  complesse;3
gestioni accessi venosi centrali;3
gestione sondino;3
compilazione cartella infermieristica;3
terapia reidratante;3
riempimento infusor;3
medicazioni ferita chirurgica;3
cateterismo estemporaneo;3
reperimento accesso venoso;3
terapia enterale e parenterale;3
terapia intradermica;3
counseling infermieristico;3
terapia enterale;3
medicazioni lesioni varie;3
medicazioni semplice e complesse;3
cateterismo urinario;3
medicazioni ulcere da pressione;3
gestione sondino nasogastrico;3
medicazioni di ulcere;3
drenaggio toracico;3
colloquio con care giver;3
gestione ventilazione meccanica;3
terapia endovenose;3
medicazioni da pressione;3
fasciature arti inferiori;3
gestioni cateteri venosi centrali;3
medicazioni nefrostomie;3
consegna farmaci;3
terapia endovenosa e sottocutanea;3
gestioni cateteri vescicali;3
fasciatura e bendaggi;3
gestione e sostituzione cateteri vescicali;3
terapia nutrizionale parenterale;3
gestione sostituzione sng;3
terapia ev im;3
terapia  endovenosa;3
reperimento accessi venosi;3
gestione sintomi;3
terapia infusiva sottocutanea;3
gestione enterostomie e urostomie;3
rilevazione glicemia;3
medicazioni lesioni decubito;3
clisteri evacuanti;3
medicazioni ulcere venose;3
familienzentrierte gespräche;3
controllo del dolore;3
gestione accessi periferici;3
medicazioni ulcere trofiche;3
colloquio con mmg;3
gestione di stomie;3
esecuzione clistere;3
punture;3
gestione tracheo e peg;3
posizionamento peg;3
tamponi covid;3
fornitura materiale;3
gestione  catetere vescicale;3
gestione porth e cvc;3
terapia infusiva ev;3
terapia i m ;3
esecuzione prelievi;3
esecuzione clistere evacuativo;3
ciclo di flebo;3
terapia ev  sc;3
gestione peg  tracheo;3
aspirazione bronchiale;3
vac therapy;3
iniezioni intramuscolari;3
monitoraggio parametri clinici;3
medicazione drenaggi;3
iniezioni sottocutanee;3
educazione terapeutica caregiver;3
medicazione di lesioni;3
insegnamento educazione;3
prelievo ematico e microbiologico;3
bendaggi elastici;3
inserimento ago cannula;3
medicazione decubito;3
inserimento cvp;3
gestione ldp;3
inserimento e sostituzione catetere vescicale;3
monitoraggio sintomi;3
valutazione dolore;3
gestione paziente terminale;3
medicazione chirurgica;3
alimentazione enterale;3
medicazione catetere venoso centrale;3
somministrazione terapia parenterale;3
valutazione bisogni assistenziali;3
medicazione lesioni decubito;3
gestione foley vescicale;3
terapie sc;3
gestione della medicazione complessa;3
sostituzione  gestione catetere vescicale;3
terapie venose;3
educazioni varie;3
rimozioni punti di sutura;3
medicazione lesione;3
sostegno emotivo;3
tp sc;3
unterstützung der angehörigen;3
tracheostomia;3
infusioni endovena;3
prelievo sangue;3
medicazione ferite;3
trasfusione;3
gestione peg e tracheo;3
sost catetere vescicale;3
assistenza cure palliative ed elaborazione lutto;3
medicazione e lavaggio cvc;3
medicazione e gestione peg;3
iniezione intramuscolare;3
sopralluogo infermieristico;3
tracheo;3
gestione cvc  picc;3
prelievi venoso;3
somministrazione terapia endovena;3
gestione medicazione complessa;3
addestramento al caregiver;3
gestione nutrizione enterale parenterale;3
gestione medicazioni complesse;3
med picc;3
orientamento ai servizi;3
prelievi venosi e capillari;3
somministrazione nutrizione parenterale;3
interventi di educazione sanitaria;3
accompagnamento fine vita;3
nutrizione parenterale ed enterale;3
lavaggio catetere vescicale;3
nutrizione parenterale totale;3
gestione cateterismi vescicali;3
lavoro di rete;3
lesioni vascolari;3
lesioni chirurgiche;3
nutrizioni enterali e parenterali;3
gestione ne e npt;3
accertamento infermieristico;3
educazione sanitaria e terapeutica;3
somministrazione npt;3
affiancamento visite specialistiche;3
aerosol terapia;3
valutazione parametri vitali;3
interventi di supporto;3
somministrazione terapia infusiva;3
educazione insegnamento;3
prelievo del sangue;3
valutazione sociale;3
intervento di supporto;3
valutazioni;3
somministrazione terapia im;3
verifica aderenza terapeutica;3
prelievo capillare per pt;3
intramuscolare;3
nad;3
educazione sanitarie;3
valutazioni mono multiprofessionale;3
addestramento ed educazione sanitaria;3
prelievi ematici domiciliari;3
intramuscolo  sottocute;3
net;3
gestione nutrizioni enterali;3
addestramento del caregiver;3
ipodermo;3
addestramento familiari;3
sostituzione gestione peg;3
sostituzione foley;3
medicazione stomie;3
emogas analisi;3
educazione al cargiver;3
preparazione terapia orale;3
gestione device;3
terapie ev sc;3
medicazione piaghe;3
gestione accessi venosi periferici e sottocutanei;3
medicazione semplici;3
gestione picc e port;3
cambi cateteri;3
educazione al paziente;3
broncoaspirazioni;3
gestione picc e cvc;3
blutabnahmen;3
gestione accessi venosi stabili;3
terapie ev sc im;3
bronco aspirazione;3
prevenzione cadute;3
gestione accessi vascolari periferici e centrali;3
posizionamento sondino nasogastrico;3
sostituzioni catetere vescicale;3
sostituzione tracheo;3
posizionamento sostituzione catetere vescicale;3
gestione pompe infusionali;3
terapie endovenosa;3
gestione pompe antalgiche;3
igiene della persona;3
igiene e mobilizzazione;3
cambio tracheo;3
medicazione ulcere venose;3
gestione picc porth;3
medicazione ulcere vascolari;3
medicazione ulcere trofiche;3
rilievo sintomi;3
catetere venoso;3
sostituzione cateteri;3
elastocompressioni;3
gestione accesso venoso periferico;3
mobilizzazione di base;3
bendaggio aaii;3
bendaggio compressivo;3
gestione flebo;3
bendaggi elastocompressivi arti inferiori;3
gestione foley;3
esecuzione clisma evacuativo;3
gestione picc  cvc;3
gestione alimentazione parenterale;3
gestione nutrizioni parenterali;2
educazione alla prevenzione delle lesioni da pressione;2
educazione alla gestione dell alvo;2
gestione terapia enterale;2
gestione nutrizioni;2
sostituzione peg sng;2
medicazioni lesioni tumorali;2
fasciature arti;2
sostituzione catere vescicale;2
educazione sanitaria supporto psicologico;2
controllo cavo orale;2
educazione ai care giver;2
ossigenoterapia;2
gestione nutrizione parenterale enterale;2
gestione nutrizione parenterale e enterale;2
posizionamento accessi venosi e sottocutanei;2
somministrazione terapia endovena e sottocute;2
medicazioni lesioni oncologiche;2
educazione adl;2
medicazioni lesioni neoplastiche;2
gestione nutrizione parenterale totale;2
gestione e sostituzione sng;2
svuotamento ampolla rettale;2
sostituzione elastomeri;2
educazione mobilizzazione;2
rilevazione parametri vitali e dolore;2
gestione p e g ;2
gestione picc midline port;2
educazione alle posture;2
medicazioni lv;2
controllo dei parametri vitali;2
medicazioni multiple;2
ed terapeutica;2
t ev;2
educazione al care giver paziente;2
supervisione;2
gestione prelievi;2
educazione alla salute e terapeutica;2
gestione o sostituzione catetere vescicale;2
educazioni terapeutiche;2
esecuzione intramuscolo;2
gestione funzione evacuativa;2
mobilizzazione passiva;2
educazione sanitaria al paziente;2
gestione npt nad;2
rilevazioni pv;2
sostituzione c v ;2
somministrazione di terapia;2
somministrazione flebo;2
gestione net e npt;2
sostituzioni catetere vescicali;2
somministrazione farmaci sottocute;2
gestione nefrostomia;2
educazione assistenziale;2
somministrazione farmaci intramuscolare;2
gestione ned;2
terapia  infusiva;2
posizionamento accesso venoso periferico;2
contatti con mmg;2
somministrazione farmaci im;2
gestione ferita chirurgica;2
gestione ne npt;2
esecuzione clisma;2
sottocutanee;2
gestione terapia ipodermo;2
somministrazione ev;2
supporto al paziente e alla famiglia;2
rilievo dolore;2
gestione e sostituzione cv;2
educazione pz e caregiver;2
rimozioni punti;2
erziehung;2
gestione medicazioni;2
gestione terapia im sc;2
somministrazione scale di valutazione;2
gestione terapia in elastomero;2
gestione nutrizione enterale  parenterale;2
perette evacuative con sonda;2
educazione sanitaria ai pz e c g ;2
nutrizione enterale parenterale;2
gestione piaghe da decubito;2
educazione a caregiver;2
mobilizzazione e postura;2
somministrazione nutrizione enterale;2
sostituzione  catetere vescicale;2
gestione medicazioni semplici;2
sostituzione cannula tracheale;2
terapia  ev;2
educazione sanitaria paziente e care giver;2
contatti telefonici;2
gestione ntp;2
rilevazioni sintomi;2
gestione infusione;2
supporto familiari;2
gestione peg  sng;2
educazione terapeutica paziente e care giver;2
gestione peg  net;2
educazione e counseling;2
counseling terapia del dolore;2
sostituzione e gestione cateteri vescicali;2
gestione stipsi;2
educazione e counselling;2
gestione sacche npt;2
sostegno alle famiglie;2
educazione alimentazione;2
sc;2
sostituzione e gestione cv;2
educazione alla famiglia;2
gestione infusioni ev;2
supporto paziente e caregiver;2
educazione e gestione presidi;2
supporto paziente e famiglia;2
somministrazione tp endovenosa;2
elastomero;2
sostituzione e gestione della peg;2
supporto ai care giver;2
medicazioni semplici e complessi;2
esecuzione prelievo ematico;2
sostituzione cateteri vescicale;2
educazione cargiver;2
gestione peg e sostituzione;2
gestione idratazione;2
rilevamento pv;2
sorveglianza procedure terapeutiche;2
gestione picc  port;2
rilevamento parametri;2
supporto emotivo;2
sostituzione di cateteri vescicali;2
gestione peg e nutrizione enterale;2
gestione peg e net;2
gestione idratazione sottocutanea;2
gestione peg e digiunostomie;2
couselling;2
pdta;2
rilevazione p v ;2
perette;2
educazione all utente;2
gestione sostituzione cv;2
sostituzione di catetere vescicale;2
gestione peg bottoni;2
monitoraggio del dolore;2
monitoraggio sintomi disturbanti;2
somministrazione terapia sottocutanea;2
peg gestione;2
gestione stomie intestinali;2
segni vitali;2
parametri funzionali;2
educazione al fare giver;2
gestione paziente oncologico;2
gestione educazione sng;2
gestione ferite chirurgiche e drenaggi;2
medicazioni piaghe da decubito;2
riconciliazione terapia farmacologica;2
gestione pz in cure palliative;2
somministrazione terapia intramuscolo;2
educazione gestione tracheo;2
medicazioni semplici ed avanzate;2
educazione care  giver;2
pic;2
misurazione pv;2
somministrazione terapia infusionale;2
reperire accessi venosi;2
gestione parenterale;2
gestione parametri vitali;2
gestione paziente in cure palliative;2
drenaggi gestione;2
educazione terapeutica al caregiver;2
educazione e supporto al care giver;2
medicazioni post chirurgiche;2
gestione ldd;2
supporto psicologico al paziente;2
supporto psicologico alla famiglia;2
evacuazione;2
educazione e supporto alla famiglia;2
rimozione catetere vescicale;2
gestione pazienti pediatrici cronici;2
somministrazione terapia sottocute;2
educazione al paziente e alla famiglia;2
controllo segni vitali;2
sedazione terminale palliativa;2
gestione picc e midline;2
gestione pazienti oncologici;2
educazione familiari;2
family conference;2
controllo pv;2
somministrazione terapia tramite fleboclisi;2
gestione pazienti in cure palliative;2
sostegno al care giver;2
sostegno al caregiver;2
educazione al paziente e caregiver;2
gestione alimentazione enterale;2
terapie per le diverse vie di somministrazione;2
prelievi a domicilio;2
infusione ipodermoclisi;2
bendaggi ossido zinco;2
bendaggi semplici e complessi;2
infusione endovenose;2
bendaggio anaelastico;2
infusione endovena;2
gestione accesso vascolare;2
gestione accesso periferico e centrale;2
medicazione piaghe da decubito;2
terapia intramusculare;2
infusione di terapia ev;2
bendaggio elastocompressivo arti inferiori;2
terapie infusione;2
prelevi venosi;2
medicazione picc e midline;2
bendaggio semplice e complesso;2
prelevi;2
infusione di albumina;2
medicazione porth;2
blutabnahme;2
medicazione semplice complessa;2
gestione delle vie aeree;2
informazioni;2
preliavo ematico;2
trasferimento competenze utente;2
assistenza pazienti palliativi;2
prelievo tao;2
prelievi capillari tao;2
tracheostomie;2
medicazione l d d;2
prelievo veniso;2
gestione alvo e clisteri;2
infusioni e injezioni;2
attivazione adi;2
tp intramuscolare;2
tp infusiva;2
gestione della medicazione semplice;2
tp endovenosa;2
prelievo venoso periferico;2
gestione alvo  enterostomie;2
preliminare ematici;2
prelivi;2
prelivo;2
bendaggi aaii;2
terapie varie;2
bendaggi arti inf ;2
infusione terapia;2
infusione sottocute;2
infusione sottocutaneo;2
prenotazione esami;2
tp ev im sc;2
terapia sottocutanea ed endovena;2
idratazione sc;2
terapia sotto cute;2
terapia sotto cutanea;2
idratazione parenterale;2
medicazioni  semplici e complesse;2
medicazioni aaii;2
medicazioni accessi vascolari;2
terapia s c ;2
terapia s c;2
cateterismo e gestione derivazioni urinarie;2
cateterismo venoso;2
broncospirazione;2
medicazioni accesso venoso;2
cateterismo vescicali;2
terapia parenterale e o totale;2
glicemia;2
cateterizzazione vescicale;2
prevenzione e trattamento lesioni da decubito;2
medicazioni bendaggi;2
gestione accesi venosi centrali;2
gestione  sostituzione peg;2
ceteterismo vescicale;2
terapia ipodermoclisi;2
terapia ipodermo;2
gestioni tracheostomie;2
terapia per via ipodermica;2
medicazione semplice e avanzate;2
terapie im sc;2
medicazione semplice e complesse;2
preparazione terapia;2
terapie im e sc;2
preparazione terapia farmacologica;2
indagini bioumorali;2
terapie ev e parenterali;2
medicazione stomia;2
cambio c v ;2
cambio cannula;2
terapie enterali;2
medicazione tracheo;2
idratazione sottocute;2
medicazione ulcere da pressione;2
gestione di accessi venosi centrali;2
terapie antibiotiche ev;2
terapie antibiotiche;2
cambio sng;2
gestione di accessi venosi periferici e sottocutanei;2
carica infusor;2
gestione accessi venosi centrale;2
posizionamento vac therapy;2
caterere vescicale;2
gestione di cateteri venosi centrali;2
posizionamento sostituzione cv;2
terapia sottocutanea intramuscolare;2
medicazione ulcere da decubito;2
med peg;2
addestramento ai care giver;2
visita congiunta con mmg;2
med semplici;2
addestramento al care giver;2
prelievi venosi e microbiologici;2
istruzione caregiver;2
visita;2
addestramento alla famiglia;2
istruzione care giver;2
prelievi ematici e microbiologici;2
prelievi venosi occasionali;2
assistenza palliativa;2
prelievo arterioso per ega;2
addestramento del care giver;2
gestione cvc  port o picc  per npt;2
gestione cvc  posizionamento e gestione cvp;2
prelievo campioni biologici;2
valutazioni multidisciplinari;2
medicazione  semplice;2
valutazioni meglio a casa;2
prelievo capillare tao;2
intervento educativo;2
valutazione stato autosufficienza;2
medicazione accesso venoso;2
interventi educativi;2
addestramento care givers;2
accertamento;2
gestione ccv;2
lesioni traumatiche;2
wundversorgung;2
wundmanagment;2
wundbehandlung;2
accessi congiunti con altri professionisti;2
lavoro di rete con altre figure professionali;2
visite multidisciplinari;2
lavaggio vescicale;2
gestione colon stomia;2
accessi venosi periferici e sottocutanei;2
gestione colonstomia;2
visita di valutazione;2
prelievi ematici venosi;2
manutenzione cvc;2
gestione cateteri vescicali e drenaggi;2
visite congiunte;2
gestione complicanze assistenziali;2
visite con mmg;2
visite con medico specialista;2
gestione cateteri vescicale e stomie;2
accompagnamento nel fine vita;2
accompagnamento paziente oncologico e non;2
prelievi urgenti;2
katheterwechsel;2
visita domiciliare;2
lavaggio pic;2
medicazione e gestione accessi vascolari;2
vac;2
prelievo ematoco;2
uvg;2
medicazione e gestione cvc;2
gestione caregiver;2
medicazione e gestione picc;2
prelievi di sangue venoso;2
ulcere da decubito;2
infusionstherapie;2
gestione cannula tracheale;2
infusioni venose;2
gestione cvc e periferici;2
infusioni terapia endovenosa;2
trattamento lesioni da pressione;2
assistenza care giver;2
prelievi di sangue venosi;2
assistenza catetere venoso centrale;2
gestione c vescicale;2
medicazione e lavaggio picc;2
infusioni s c ;2
