testo_pulito;count
cvc;16
gestione del dolore;16
medicazione lesioni;16
ega;15
educazione terapeutica in relazione ai bisogni assistitocaregiver;15
gestione cateteri venosi;15
ed sanitaria;15
medicazioni peg;15
parametri;15
idratazione;14
medicazioni accessi venosi centrali;14
posizionamento e gestione accessi venosi;14
terapia idratante;14
rilevazione pv;14
esami ematici;14
esecuzione ecg;13
medicazione lesioni da decubito;13
cambio cateteri vescicali;13
infusione;13
gestione tracheotomia;13
gestione dolore;13
gestione e sostituzione peg;13
gestione e sostituzione catetere vescicale;13
supporto care giver;13
somministrazione terapia endovenosa;13
fasciature e bendaggi;13
medicazione ferita chirurgica;12
posizionamento sng;12
terapia intramuscolo;12
medicazioni picc;12
gestione peg e sng;12
rettoclisi;12
inserimento catetere vescicale;12
prelievo capillare;12
sng;12
valutazione del setting domiciliare;12
bendaggio arti inferiori;12
gestione funzione urinaria;12
valutazione multidimensionale;12
medicazione ldd;12
cambi catetere;11
infusioni ev;11
gestione terapia endovenosa;11
prelievo arterioso;11
monitoraggio clinico assistenziale;11
endovena;11
sorveglianza infermieristica;11
gestione accessi venosi periferici e centrali;11
rilevamento parametri vitali;11
ferite chirurgiche;11
gestione catetere vescicali;11
tev;11
sostituzioni cateteri vescicali;11
gestione pic;11
supporto al follow up;11
supporto al care giver;11
medicazione complesse;11
medicazioni lesioni vascolari;11
verbandswechsel;10
valutazione sintomi;10
medicazioni semplici e gestione delle complicanze assistenziali;10
cambio cateteri;10
cambi cateteri vescicali;10
gestione urostomie;10
medicazione lesioni da pressione;10
prelievi di sangue;10
monitoraggio clinico;10
medicazioni varie;10
prevenzione;10
gestione terapia infusiva;10
gestione nutrizione enterale e parenterale;10
supporto al lutto;10
gestione linee infusive;10
gestione net;10
somministrazione farmaci;10
gestione catetere;10
somministrazione terapia intramuscolare;10
sostegno psicologico;10
sottocute;9
sostituzione sng;9
prelievo ematici;9
gestione cateteri venosi centrali e periferici;9
terapia;9
ascolto attivo;9
prelievo di sangue;9
prelievo ematico posizionamento e gestione catetere vescicale medicazione chirurgica medicazioni ldp posizionamento gestione sng terapia iniettiva im sc ev gestione alvo gestione ntp da picc e porth a cath prelievo arterioso per ega prelievo ca;9
prelievo ematochimico;9
trattamento lesioni trofiche;9
flebo terapia;9
trasfusioni;9
emotrasfusioni;9
nutrizioni parenterali;9
monitoraggio dolore;9
consegna materiale;9
catetere;9
gestione terapia;9
controllo parametri;9
aspirazione tracheale;9
misurazione parametri;9
rilevazione dei parametri vitali;9
rilevazioni parametri;9
infusione ev;9
medicazioni semplici e avanzate;9
supporto alla famiglia;8
gestione nefrostomie;8
gestione enterostomie;8
tpn;8
terapia antalgica;8
gestione cateterismo;8
terapia del dolore;8
prelievo ematico venoso;8
gestione cateteri;8
drenaggi;8
gestione cateteri venosi periferici;8
prelievo domiciliare;8
gestione terapia infusionale;8
medicazioni udp;8
terapia infusionale endovenosa;8
supporto relazionale;8
picc;8
gestione midline;8
controllo dolore;8
gestione pegsng;8
gestione sondino naso gastrico;8
medicazioni lesioni cutanee;8
medicazione tracheostomia;8
medicazione udp;8
valutazione setting domiciliare;8
infusioni endovenose;8
fasciatura;8
fasciature semplici;8
relazione daiuto;7
counselling;7
trasferimento competenze;7
ascolto;7
igiene personale;7
colloquio infermieristico;7
infusionen;7
posizionamento e gestione cv;7
posizionamento cateteri vescicali;7
controllo peg;7
terapia venosa;7
bendaggi compressivi;7
sedazione palliativa;7
gestioni cvc;7
medicazione accessi venosi centrali;7
terapie im;7
catetere vescicali;7
terapia ipodermica;7
clismi;7
clismi evacuativi;7
medicazioni accessi venosi;7
terapia endovenosa in infusione;7
medicazioni stomie;7
sostituzione catetere;7
medicazione pic;7
medicazioni drenaggi;7
esecuzione prelievi ematici;7
gestione accessi vascolari centrali;7
prevenzione e gestione della stipsi;7
accessi venosi;7
valutazione;7
valutazione multidisciplinare;7
educazione sanitaria al care giver;6
educazione sanitaria al caregiver;6
educazione sanitaria care giver;6
educazione sanitaria caregiver;6
enteroclisma;6
valutazione dei sintomi;6
gestione accessi centrali;6
gestione catetere venoso periferico;6
gestione cateterismo urinario;6
sostituzione sonda vescicale;6
rimozione punti;6
rilevazioni parametri vitali;6
medicazione piede diabetico;6
terapia intramuscolare e sottocutanea;6
medicazioni e bendaggi;6
medicazioni semplice;6
terapia orale;6
gestione pompa elastomerica;6
gestione porth;6
terapie infusionale;6
monitoraggi;6
monitoraggio pv;6
controllo sintomi;6
gestione tpn;6
gestionesostituzione catetere vescicale;6
gestione terapia orale;6
gestione terapia parenterale;6
medicazione lesioni cutanee;6
rimozione punti sutura;6
educazione del caregiver;6
medicazioni vascolari;6
aspirazione endotracheale;6
aspirazione;6
somministrazione fleboclisi;6
cambio e gestione peg;6
cambio e gestione catetere vescicale;6
gestione fleboclisi;6
gestione lesioni;6
gestione evacuazione;6
gestione terapie infusionali;6
inserimento cv;6
lesioni da decubito;6
medicazione accessi venosi;6
gestione terapia ev;6
gestione e posizionamento catetere vescicale;6
gestione ferite chirurgiche;6
gestione elastomeri;6
terapie sottocutanee;6
terapie intramuscolari;6
relazione daiuto assistitocaregiver;6
elettrocardiogramma;6
educazione alimentare;6
rilievo parametri;5
bendaggio elasto compressivo;5
prevenzione lesioni da pressione;5
sostituzione gestione catetere vescicale;5
medicazioni ulcere da decubito;5
posizionamento accesso venoso;5
infusione terapia endovenosa;5
educazioneaddestramento;5
infusione liquidi;5
perette evacuative;5
gestione accesso venoso centrale;5
gestione accesso venoso;5
ricognizione terapeutica;5
medicazioni ulcere vascolari;5
gestione tev;5
terapia iniettiva intramuscolare;5
gestione picc cvc;5
uvm;5
gestione caterismo vescicale;5
analisi dei bisogni;5
bendaggi elasto compressivi;5
ldp;5
lesioni da pressione;5
fasciatura semplice;5
prelievi capillari;5
colloquio con i familiari;5
infusione terapia ev;5
gestione dellalvo;5
iniezioni;5
cateteri vescicale;5
clisma evacuativi;5
medicazione semplice e complessa;5
gestione piccmidline;5
gestione delle stomie;5
terapia infusionale ev;5
prelievi tao;5
medicazione avanzata;5
gestione del catetere vescicale;5
supporto;5
im;5
gestione drenaggio;5
gestione picc port;5
gestione catere vescicale;5
terapie ipodermiche;5
medicazioni ;5
visite congiunte con mmg;5
gestione cateteri vescicale;5
tamponi;5
terapia infusiva endovenosa;5
gestione fleboterapia;5
gestione sng e peg;5
medicazioni lesioni da compressione;5
accessi venosi periferici;5
terapia iniettiva sottocutanea;5
esplorazione rettale;5
controlli parametri vitali;5
emotrasfusione;5
medicazione lesione da pressione;5
terapia infusionali;5
gestione sng peg;5
elastomeri;5
gestione colonstomie;5
accesso venoso;5
somministrazione farmaci ev;5
gestionesostituzione peg;5
valutazione infermieristica;5
sostituzione e gestione catetere vescicale;5
medicazione ulcere;5
sostegno alla famiglia;4
medicazione lesione da decubito;4
prelievi ematici e capillari;4
medicazione cateteri venosi centrali;4
prelievi microbiologici;4
supporto al paziente;4
medicazione decubiti;4
mobilizzazione paziente;4
collaborazione con mmg;4
gestione derivazioni urinarie;4
cambi catetere vescicale;4
prelievi arteriosi;4
prelievi del sangue;4
medicazione tracheotomia;4
gestione della peg;4
istruire care giver;4
gestione lesioni da pressione;4
trattamenti ferite chirurgichedrenaggi;4
ldd;4
lavaggio port;4
trattamento ferite chirurgiche;4
gestione cvc picc;4
alimentazione parenterale;4
gestione catetere centrale;4
piaghe da decubito;4
nutrizioni enterali;4
gestione  cvc;4
gestione infusioni;4
educazione  sanitaria;4
somministrazione endovenosa;4
gestione e posizionamento peg;4
pdta scompenso;4
medicazione semplici e complesse;4
colloquio con caregiver;4
gestione elastomero;4
gestione  peg;4
tao;4
pompe elastomeriche;4
gestione accessi venoso centrali;4
posizionamento accessi venosi;4
gestione gastrotube;4
posizionamento ago cannula;4
medicazione lesioni vascolari;4
posizionamento catetere venoso periferico;4
medicazione accesso venoso centrale;4
gestione cateteri centrali;4
valutazione del dolore;4
medicazione arti inferiori;4
medicazione accessi vascolari;4
gestione catetere vescicale a permanenza;4
formazione caregiver;4
supporto familiare;4
terapia antibiotica;4
gestione emergenza;4
valutazione monoprofessionale;4
elettrocardiogrammi;4
cateterismo vesciale;4
gestione tracheotomie;4
medicazioni di vario genere;4
educazione paziente e caregiver;4
educazione paziente;4
educazione paziente e care giver;4
gestione sngpeg;4
bendaggi vascolari;4
educazione gestione stomie;4
presa in carico;4
couseling;4
prevenzione e trattamento lesione da pressione;4
somministrazione terapia im;4
gestione sostituzione peg;4
medicazioni decubiti;4
educazione del care giver;4
terapie sottocute;4
medicazioni pic;4
sostituzione e gestione peg;4
gestione terapia del dolore;4
addestramentoeducazione;4
emogasanalisi;4
cvp;4
assistenza emotrasfusione;4
valutazione monomultiprofessionale;4
medicazioni complesse e semplici;4
gestione cvc e cvp;4
gestione peg e stomie;4
clima evacuativo;4
gestione vie urinarie;4
terapie parenterali;4
educazione socio sanitaria;4
medicazioni arti inferiori;4
terapie sc;4
terapia ev sc;4
medicazioni semplici complesse;4
terapia ev e sc;4
bendaggio elastocompressivi;4
medicazione piccmidline;4
terapia evsc;4
gestione catetere venosi centrali;4
gestione peg sng;4
applicazione catetere vescicale;4
gestione cat vescicale;4
gestione medicazioni semplici e complesse;4
terapie endovena;4
sorveglianza;4
nutrizione enterale e parenterale;4
nutrizione parentale;4
terapia im e sc;4
educazione alla prevenzione;4
consulenza;4
sostituzioni cateteri;4
tp infusionale;4
esami strumentali;4
somministrazione terapie ev;4
gestioni peg;4
medicazioni piede diabetico;4
educazione alla mobilizzazione;4
sostituzioni peg;4
educazione alla salute;4
terapie intramuscolo;4
idratazione ev;4
gestione port a cath;4
terapia ev im sc;4
somministrazione terapia orale;4
clisteri evacuanti;3
medicazione ulcere venose;3
terapia evimsc;3
gestione ldp;3
terapia ev o sc;3
gestione della medicazione complessa;3
sopralluogo infermieristico;3
medicazione semplici;3
gestione dell alvo;3
medicazione stomie;3
gestione di stomie;3
gestione device;3
sostegno emotivo;3
terapia intradermica;3
terapia evim;3
tracheo;3
medicazioni di ulcere;3
medicazioni ferita chirurgica;3
medicazioni ferite;3
rilevazione glicemia;3
rimozioni punti di sutura;3
rilievo sintomi;3
medicazioni da pressione;3
medicazione ulcere vascolari;3
medicazione ulcere trofiche;3
tracheostomia;3
controllo del dolore;3
gestione tracheo e peg;3
sostituzione foley;3
somministrazione terapia infusiva;3
somministrazione terapia endovena;3
compilazione cartella infermieristica;3
somministrazione npt;3
idratazione sc;3
igiene e mobilizzazione;3
medicazione decubito;3
somministrazione terapia parenterale;3
sost catetere vescicale;3
inserimento cvp;3
sondino naso gastrico;3
inserimento e sostituzione catetere vescicale;3
gestione peg tracheo;3
gestione piccport;3
gestione picc e cvc;3
iniezione intramuscolare;3
gestione picc e port;3
igiene della persona;3
gestione portacath;3
terapia nutrizionale parenterale;3
terapie endovenosa;3
gestione sintomi;3
gestione picccvc;3
gestione piccporth;3
gestione pompe infusionali;3
gestione pompe antalgiche;3
gestione porth e cvc;3
consegna farmaci;3
gestione ventilazione meccanica;3
gestione sondino nasogastrico;3
gestione paziente terminale;3
terapie evsc;3
terapie ev sc im;3
addestramento familiari;3
gestione peg pej;3
gestioni accessi venosi centrali;3
gestioni cateteri vescicali;3
gestioni cateteri venosi centrali;3
gestione peg e tracheo;3
gestione sondino;3
medicazione di lesioni;3
medicazione drenaggi;3
colloquio con care giver;3
gestione nutrizioni enterali;3
med picc;3
gestione e sostituzione cateteri vescicali;3
aerosol terapia;3
affiancamento visite specialistiche;3
alimentazione enterale;3
gestione foley vescicale;3
iniezioni intramuscolari;3
gestione flebo;3
terapia infusiva sottocutanea;3
terapia iniettiva endovenosa;3
gestione enterostomie e urostomie;3
medicazione piaghe;3
counseling infermieristico;3
medicazione ferite;3
medicazione lesione;3
medicazione lesioni decubito;3
gestione foley;3
terapia infusiva ev;3
iniezioni sottocutanee;3
infusioni endovena;3
infusioni sc;3
lavoro di rete;3
gestione medicazioni complesse;3
lesioni chirurgiche;3
lesioni vascolari;3
gestione medicazione complessa;3
colloquio con mmg;3
lavaggio catetere vescicale;3
medicazione chirurgica;3
gestione nutrizione enteraleparenterale;3
interventi di educazione sanitaria;3
interventi di supporto;3
intervento di supporto;3
intramuscolo sottocute;3
intramuscolare;3
ipodermo;3
medicazione e gestione peg;3
medicazione e lavaggio cvc;3
medicazione catetere venoso centrale;3
gestione ne e npt;3
esecuzione prelievi;3
valutazione parametri vitali;3
fornitura materiale;3
broncoaspirazioni;3
educazione sanitarie;3
terapia reidratante;3
aspirazione bronchiale;3
cambi cateteri;3
esecuzione clisma evacuativo;3
gestione cateterismi vescicali;3
punture;3
pv;3
psicoeducazione;3
sostituzione cateteri vescicale;3
assistenza cure palliative ed elaborazione lutto;3
reperimento accessi venosi;3
valutazione dolore;3
tamponi covid;3
educazione sanitaria e terapeutica;3
sostituzioni catetere vescicale;3
drenaggio toracico;3
medicazioni ulcere venose;3
medicazioni ulcere da pressione;3
catetere venoso;3
monitoraggio clinicoassistenziale;3
terapia  endovenosa;3
prelievo capillare per pt;3
valutazione sociale;3
mobilizzazione di base;3
nad;3
reperimento accesso venoso;3
terapia antibiotica ev;3
addestramento al caregiver;3
bendaggio compressivo;3
terapia endovenosa e sottocutanea;3
preparazione terapia orale;3
gestione accessi venosi stabili;3
prevenzione cadute;3
gestione accesso venoso periferico;3
gestione alimentazione parenterale;3
prelievi venosi e capillari;3
bendaggio aaii;3
gestione accessi periferici;3
gestione accessi vascolari periferici e centrali;3
unterstützung der angehörigen;3
riempimento infusor;3
gestione accessi venosi periferici e sottocutanei;3
orientamento ai servizi;3
gestione  catetere vescicale;3
sostituzione tracheo;3
sostituzionegestione catetere vescicale;3
bendaggi elastocompressivi arti inferiori;3
bendaggi elastici;3
sostituzionegestione peg;3
sostituzione sondino naso gastrico;3
supporto medico;3
esecuzione clistere;3
educazione al cargiver;3
sc;3
prelievi ematici domiciliari;3
somministrazione nutrizione parenterale;3
cambio tracheo;3
addestramento ed educazione sanitaria;3
cateterismo estemporaneo;3
emogas analisi;3
medicazioni semplicicomplesse;3
prelievi venoso;3
medicazioni ulcere trofiche;3
medicazioni ulcere arti inferiori;3
bronco aspirazione;3
tp endovenosa;3
tp sc;3
sostituzione cateteri;3
accompagnamento fine vita;3
ciclo di flebo;3
elastocompressioni;3
blutabnahmen;3
terapie venose;3
familienzentrierte gespräche;3
prelievo ematico e microbiologico;3
accertamento infermieristico;3
medicazioni nefrostomie;3
educazione al paziente;3
medicazioni lesioni varie;3
terapia ev sc im;3
terapia enterale;3
terapia enterale e parenterale;3
terapia endovenose;3
prelievo sangue;3
medicazioni lesioni decubito;3
fasciatura e bendaggi;3
net;3
posizionamento sondino nasogastrico;3
nutrizione parenterale totale;3
valutazioni monomultiprofessionale;3
nutrizione parenterale ed enterale;3
cateterismo urinario;3
terapia im sc ev;3
verifica aderenza terapeutica;3
prelievo capillare tao;3
posizionamentosostituzione catetere vescicale;3
posizionamento peg;3
monitoraggio sintomi;3
valutazione bisogni assistenziali;3
addestramento del caregiver;3
valutazioni;3
fasciature arti inferiori;3
esecuzione clistere evacuativo;3
trasfusione;3
prelievo del sangue;3
monitoraggio parametri clinici;3
nutrizioni enterali e parenterali;3
medicazioni semplice e complesse;3
educazioni varie;3
sostegno alle famiglie;2
gestione picc e midline;2
somministrazione scale di valutazione;2
educazione al fare giver;2
uvg;2
gestione picc midline;2
somministrazione tp endovenosa;2
esecuzione clisma;2
gestione piccmidlineport;2
somministrazione terapia intramuscolo;2
somministrazione terapia sottocute;2
somministrazione terapia tramite fleboclisi;2
gestione peg net;2
sorveglianza procedure terapeutiche;2
trasferimento competenze utente;2
somministrazione terapia sottocutanea;2
tracheostomie;2
gestione pegpej;2
educazione al paziente e alla famiglia;2
gestione pazienti oncologici;2
gestione pazienti in cure palliative;2
gestione pazienti pediatrici cronici;2
assistenza care giver;2
sostituzione di catetere vescicale;2
gestione peg e digiunostomie;2
gestione peg e nutrizione enterale;2
sostituzione di cateteri vescicali;2
gestione peg e net;2
terapia sotto cutanea;2
terapia scevim;2
terapia sottocutanea ed endovena;2
terapie antibiotiche ev;2
controllo cavo orale;2
terapie antibiotiche;2
sostituzione e gestione cv;2
sostituzione e gestione della peg;2
educazione e supporto al care giver;2
educazione e supporto alla famiglia;2
educazione e gestione presidi;2
educazione e counseling;2
family conference;2
flebo sottocute;2
flebo tp;2
terapia parenterale eo totale;2
accessi congiunti con altri professionisti;2
terapia per via ipodermica;2
sostituzione e gestione cateteri vescicali;2
somministrazione terapia endovena e sottocute;2
somministrazione terapia im sc ev;2
ulcere da decubito;2
somministrazione terapia infusionale;2
educazione familiari;2
trattamento lesioni da pressione;2
educazione gestione tracheo;2
educazione mobilizzazione;2
educazione insegnamento;2
educazione cargiver;2
accertamento;2
sostituzione elastomeri;2
educazione e counselling;2
assistenza catetere venoso centrale;2
gestione piaghe da decubito;2
educazione adl;2
educazione al paziente e caregiver;2
valutazione ambiente domestico;2
vac;2
controllo dei parametri vitali;2
vac terapy;2
vac therapy;2
assistenza in cure palliative;2
accessi venosi periferici e sottocutanei;2
gestione peg e sostituzione;2
assistenza flebo;2
gestione paziente in cure palliative;2
gestione pegbottoni;2
gestione bambino diabetico;2
gestione alvo e clisteri;2
gestione della medicazione semplice;2
gestione alvo enterostomie;2
gestione alimentazione enterale;2
gestione delle vie aeree;2
tp intramuscolare;2
gestione catetere venoso;2
gestione cvcmidline;2
gestione cvescicale;2
ed terapeutica;2
gestione infusione;2
gestione infusioni ev;2
gestione nenpt;2
gestione catetere venoso centrali;2
gestione catetere venosi;2
gestione ccv;2
gestione ldd;2
gestione cateteri vescicali e drenaggi;2
counseling terapia del dolore;2
gestione cateteri vescicale e stomie;2
gest picc;2
gest cv;2
gestione funzione evacuativa;2
gestione idratazione sottocutanea;2
fleboterapie;2
gestione idratazione;2
drenaggi gestione;2
terapie infusionali ev;2
terapie infusione;2
gestione cvc port o picc per npt;2
gestione cvc posizionamento e gestione cvp;2
gestione colonstomia;2
gestione colon stomia;2
addestramento care givers;2
terapie varie;2
gestione complicanze assistenziali;2
gestione cvc e periferici;2
terapie per le diverse vie di somministrazione;2
gestione cvc e picc;2
couselling;2
gestione dispositivi venosi centrali;2
gestione drenaggi toraco addominali;2
tp infusiva;2
gestione e cambio peg;2
gestione e cambio peg e sng;2
gestione e medicazione accessi venosi centrali;2
gestione e medicazione picc;2
addestramento del care giver;2
gestione di accessi venosi periferici e sottocutanei;2
gestione di accessi venosi centrali;2
gestione cateri;2
gestione di cateteri venosi centrali;2
gestione di catetere vescicale;2
gestione caregiver;2
gestione cannula tracheale;2
tp ev im sc;2
gestione paziente oncologico;2
gestione net e npt;2
valutazione generale;2
gestione nptnad;2
valutazione globale;2
gestione ntp;2
gestione nutrizione enterale parenterale;2
fasciature arti;2
gestione nutrizione parenterale e enterale;2
gestione ned;2
gestione ne;2
controllo pv;2
controllo segni vitali;2
fleet;2
visite con mmg;2
visita di valutazione;2
visita domiciliare;2
visita congiunta con mmg;2
accompagnamento paziente oncologico e non;2
gestione medicazioni;2
gestione midlinepicc;2
accompagnamento nel fine vita;2
gestione medicazioni semplici;2
assistenza palliativa;2
gestione nefrostomia;2
erziehung;2
educazione alimentazione;2
addestramento ai care giver;2
fleboclisiipodermoclisi;2
fleboipodermoclisi;2
gestione ferita chirurgica;2
gestione  sostituzione peg;2
gestione ferite chirurgiche e drenaggi;2
gestione accesi venosi centrali;2
gestione  cv;2
gestione  alvo;2
gestione  catetere venoso centrale;2
edsanitaria;2
gestione accessi venosi centrale;2
gestione e sostituzione cv;2
gestione e sostituzione sng;2
gestione parametri vitali;2
gestione accesso vascolare;2
gestione nutrizioni;2
valutazione del grado di autosufficienza;2
gestione nutrizione parenterale totale;2
valutazione del setting domiciliari;2
valutazione dei bisogni;2
addestramento alla famiglia;2
addestramento al care giver;2
evacuazione;2
gestione o sostituzione catetere vescicale;2
esecuzione prelievo ematico;2
gestione nutrizioni parenterali;2
esecuzione intramuscolo;2
gestione parenterale;2
gestione accesso periferico e centrale;2
peg gestione;2
pdta;2
caterere vescicale;2
supporto psicologico al paziente;2
supporto paziente e caregiver;2
supporto paziente e famiglia;2
segni vitali;2
sedazione terminalepalliativa;2
somministrazione nutrizione enterale;2
educazione al care giverpaziente;2
somministrazione flebo;2
somministrazione farmaci im;2
somministrazione farmaci intramuscolare;2
supporto al paziente e alla famiglia;2
supporto al followup;2
relazione;2
raccolta dati;2
raccolta parametri vitali;2
promozione salute;2
somministrazione farmaci sottocute;2
posizionamento accessi venosi e sottocutanei;2
pic;2
terapia endovenosa e sottocute;2
terapia endovenosa idratante;2
ascolto supporto alla famiglia;2
posizionamento agocannula;2
posizionamento accesso venoso periferico;2
posizionamento e gestione sondino naso gastrico;2
posizionamento e sostituzione avp;2
perette evacuative con sonda;2
posizionamento e gestione cateteri vescicali;2
posizionamento e gestione cvp;2
posizionamento e cambio catetere vescicale;2
carica infusor;2
cat vescicale;2
cambio sng;2
parametri funzionali;2
ossigenoterapia;2
perette;2
posizionamento e sostituzione catetere vescicale;2
terapia in vena;2
medicazioni semplici ed avanzate;2
medicazioni semplici e complessi;2
cateterismo vescicali;2
cateterismo venoso;2
cateterismo e gestione derivazioni urinarie;2
medicazioni lesioni oncologiche;2
ceteterismo vescicale;2
cateterizzazione vescicale;2
promozione della salute;2
medicazioni piaghe da decubito;2
medicazioni lv;2
medicazioni multiple;2
medicazioni lesioni tumorali;2
medicazioni lesioni neoplastiche;2
terapia endovenosa sottocutanea;2
terapia idratante endovenosa;2
terapia idratante ev;2
terapia farmacologica;2
medicazioni lesioni arti inferiori;2
reperire accessi venosi;2
supporto familiari;2
supporto emotivo;2
terapia  ev;2
terapia  infusiva;2
svuotamento ampolla rettale;2
supporto psicologico alla famiglia;2
mobilizzazione e postura;2
misurazione pv;2
terapia infusionale endovena;2
mobilizzazione passiva;2
monitoraggio sintomi disturbanti;2
nutrizione enteraleparenterale;2
terapia infusinale;2
terapia im sc;2
apertura cartelle adi;2
apertura casi con mmg;2
terapia idratante sottocute;2
medicazioni post chirurgiche;2
medicazioni picc cvc;2
monitoraggio del dolore;2
elastomero;2
educazione sanitaria al paziente;2
educazione sanitaria ai pz e cg;2
educazione pz e caregiver;2
educazione terapeutica paziente e care giver;2
educazione terapeutica caregiver;2
educazione terapeutica al caregiver;2
educazione alla gestione dellalvo;2
educazione alla famiglia;2
terapia e v;2
relazione di aiuto assistitocaregiver;2
realizzazione di una relazione assistenziale efficace;2
rilevamento parametri;2
riconciliazione terapia farmacologica;2
bendaggi arti inf;2
bendaggio anaelastico;2
bendaggi ossido zinco;2
bendaggi semplici e complessi;2
prevenzione e trattamento lesioni da decubito;2
educazione sanitaria supporto psicologico;2
wundmanagment;2
wundbehandlung;2
visite con medico specialista;2
educazione ai care giver;2
educazione a caregiver;2
visite multidisciplinari;2
visite congiunte;2
visita;2
wundversorgung;2
valutazione stato autosufficienza;2
educazione assistenziale;2
educazione alle posture;2
educazione alla prevenzione delle lesioni da pressione;2
educazione alla salute e terapeutica;2
educazioni terapeutiche;2
valutazione ldp;2
valutazione mono e multiprofessionale;2
valutazione mono o multiprofessionale;2
valutazioni multidisciplinari;2
valutazioni meglio a casa;2
educazione allutente;2
prelievo tao;2
prelevi;2
prelevi venosi;2
preliavo ematico;2
posizionamento vac therapy;2
posizionamento gestione catetere vescicale;2
prelievi ematci;2
prelievi di sangue venosi;2
prelievi di sangue venoso;2
bendaggio ec;2
prelievi a domicilio;2
cambio cannula;2
broncospirazione;2
prelievi ematici e microbiologici;2
prelievi venosi e microbiologici;2
prelievi urgenti;2
prelievi endovenosi;2
prelievi ematici venosi;2
prelievi ematici venosi e capillari;2
prelievi capillari tao;2
sostituzioni catetere vescicali;2
supporto ai care giver;2
supporto ai caregiver;2
supervisione;2
sottocutanee;2
prelievo arterioso per ega;2
prelievo campioni biologici;2
prelievi venosi occasionali;2
blutabnahme;2
prelivi;2
bendaggio elastocompressivo arti inferiori;2
prelievo veniso;2
prelievo ematoco;2
prelievo ematico secreti ed escreti;2
preparazione terapia;2
preparazione terapia farmacologica;2
prelivo;2
prenotazione esami;2
prelievo venoso periferico;2
preliminare ematici;2
bendaggio semplice e complesso;2
inserimento e gestione accessi vascolari periferici;2
inserimento ago cannula;2
idratazione parenterale;2
gpeg;2
glicemia;2
gestioni terapie infusionali;2
gestioni tracheostomie;2
gestioni drenaggi;2
indagini bioumorali;2
medicazioni accessi vascolari;2
idratazione sottocute;2
infusione endovena;2
