word;word_corretta;acronimo;commento
asuili;ausilio;;
atb;ELIMINARE;;
atetere;catetere;;
atp;ELIMINARE;;
attaccati;attaccato;;
attacco;attacco;;
attiva;attivo;;
attivando;attivando;;
attivate;attivato;;
attivazione;attivazione;;
attivazioni;attivazione;;
attivi;attivo;;
attivita;attività;;
attività;attività;;
attivo;attivo;;
attrezzature;attrezzatura;;
attuare;attuare;;
ausili;ausilio;;
ausilii;ausilio;;
ausilio;ausilio;;
ausl;azienda unità sanitaria locale;ausl;
aussiliari;ausiliario;;
auto;auto;;
autocura;autocura;;
autoefficienza;auto efficienza;;
autofahrten;ELIMINARE;;
autogestione;autocura;;
autonomia;autonomia;;
autorilevati;auto rilevati;;
autosufficianza;autosufficienza;;
autosufficienza;autosufficienza;;
avanzata;avanzato;;
avanzate;avanzato;;
avc;accesso venoso centrale;avc;
avel;ELIMINARE;;
avenzate;avanzato;;
avp;accesso venoso periferico;avp;
avvenute;avvenuto;;
avversi;avverso;;
avvio;avvio;;
aziendale;aziendale;;
badante;badante;;
badanti;badante;;
bagno;bagno;;
bambini;bambino;;
bambino;bambino;;
base;base;;
basso;basso;;
bec;ELIMINARE;;
beendaggi;bendaggio;;
bend;bendaggio;;
bendaggi;bendaggio;;
bendaggiarti;bendaggio arti;;
bendaggio;bendaggio;;
bendaggo;bendaggio;;
bendagi;bendaggio;;
bengaggi;bendaggio;;
beratung;consulenza;;
besorgen;procurare;;
betreuen;assistere;;
betreuung;assistenza;;
bilancio;bilancio;;
biliare;biliare;;
biliari;biliare;;
bimbo;bambino;;
bioligici;biologico;;
biologici;biologico;;
biologico;biologico;;
biomurali;bioumorale;;
bioptico;bioptico;;
bioumorale;bioumorale;;
bioumorali;bioumorale;;
bisogni;bisogno;;
bisogno;bisogno;;
blasenkatheter;catetere vescicale;;
blister;blister;;
blutabnahme;prelievo ematico;;
blutabnahmen;prelievo ematico;;
blutentnahmen;prelievo ematico;;
blutzucker;glicemia;;
bo;ELIMINARE;;
bottoni;bottone;;
bpco;broncopneumopatia cronica ostruttiva;bpco;
breafing;briefing;;
brefing;briefing;;
breve;breve;;
brocoaspirazioni;broncoaspirazione;;
bronchiale;bronchiale;;
bronco;bronco;;
broncoaspirazione;broncoaspirazione;;
broncoaspirazioni;broncoaspirazione;;
broncolavaggio;broncolavaggio;;
broncospirazione;broncoaspirazione;;
burocratica;burocratico;;
burocrazia;burocrazia;;
ca;ELIMINARE;;
cache;ELIMINARE;;
cade;cade;;
caduta;caduta;;
cadute;caduta;;
caleterismo;cateterismo;;
calze;calza;;
cam;ELIMINARE;;
cambi;cambio;;
cambiamento;cambiamento;;
cambio;cambio;;
campione;campione;;
campioni;campione;;
canale;canale;;
canalizzazione;canalizzazione;;
cannula;cannula;;
cannule;cannula;;
cannulla;cannula;;
canula;cannula;;
canule;cannula;;
capilari;capillare;;
capillare;capillare;;
capillari;capillare;;
car;ELIMINARE;;
caragivers;caregiver;;
card;ELIMINARE;;
cardiaco;cardiaco;;
cardiopatici;cardiopatico;;
care;caregiver;;
caregeaver;caregiver;;
caregever;caregiver;;
careggi;ELIMINARE;;
careghiver;caregiver;;
caregire;caregiver;;
caregive;caregiver;;
caregiver;caregiver;;
caregivers;caregiver;;
caregover;caregiver;;
carenze;carenza;;
carergiver;caregiver;;
careviger;caregiver;;
carg;caregiver;;
carghiver;caregiver;;
cargiver;caregiver;;
carguiver;caregiver;;
carica;carico;;
caricamento;caricamento;;
carico;carico;;
carne;carne;;
carriera;carriera;;
carrozzina;carrozzina;;
cartella;cartella;;
cartelle;cartella;;
carth;ELIMINARE;;
case;ELIMINARE;;
casi;caso;;
cat;catetere;;
catatere;catetere;;
categiver;caregiver;;
categorie;categoria;;
catere;catetere;;
caterei;catetere;;
caterere;catetere;;
catereri;catetere;;
catereteri;catetere;;
cateri;catetere;;
caterina;ELIMINARE;;
caterismi;cateterismo;;
caterismo;cateterismo;;
caterizzazioni;cateterizzazione;;
catersmo;cateterismo;;
caterteri;catetere;;
catetare;catetere;;
catetei;catetere;;
cateter;catetere;;
catetere;catetere;;
cateteri;catetere;;
cateterimo;cateterismo;;
cateterino;catetere;;
cateteriri;cateterismo;;
cateterisco;cateterismo;;
cateterismi;cateterismo;;
cateterismo;cateterismo;;
cateterizazioni;cateterizzazione;;
cateterizzasione;cateterizzazione;;
cateterizzato;cateterizzare;;
cateterizzazione;cateterizzazione;;
cateterizzazioni;cateterizzazione;;
cateterusmo;cateterismo;;
catetete;catetere;;
cateteteri;catetere;;
cateteterismo;cateterismo;;
catetre;catetere;;
catetrismo;cateterismo;;
cath;catetere;;
cathetere;catetere;;
cattetere;catetere;;
caunceliing;counselling;;
caunseling;counselling;;
caunsling;counselling;;
causelin;counselling;;
causeling;counselling;;
cavo;cavo;;
cc;ELIMINARE;;
ccv;ELIMINARE;;
centali;centrale;;
centarli;centrale;;
centrale;centrale;;
centrali;centrale;;
centralizzati;centralizzato;;
centrati;centrato;;
centro;centro;;
centrrale;centrale;;
cercare;cercare;;
cergiver;caregiver;;
cerotto;cerotto;;
cescicali;vescicale;;
cessione;cessione;;
cestione;gestione;;
ceterismo;cateterismo;;
cetetere;catetere;;
ceteteri;cateteri;;
ceteterismo;cateterismo;;
cg;ELIMINARE;;
ch;ELIMINARE;;
chemioterapia;chemioterapia;;
chemioterapica;chemioterapia;;
chemioterapie;chemioterapia;;
chemotherapie;chemioterapia;;
chemotherapien;chemioterapia;;
chirrurgiche;chirurgico;;
chirugiche;chirurgico;;
chirugici;chirurgico;;
chirurgi;chirurgo;;
chirurgia;chirurgia;;
chirurgica;chirurgico;;
chirurgice;chirurgico;;
chirurgiche;chirurgico;;
chirurgici;chirurgico;;
chirurgo;chirurgo;;
chiusura;chiusura;;
cicc;centrally inserted central catheter;cicc;
cicli;ciclo;;
ciclo;ciclo;;
circ;ELIMINARE;;
circolari;circolare;;
circuito;circuito;;
cire;ELIMINARE;;
cistifix;catetere per cistostomia percutanea;;
cisto;cistoscopia;;
cistoclisi;cistoclisi;;
cistofix;catetere per cistostomia percutanea;;
cistostimia;cistostomia;;
cistostomie;cistostomia;;
cl;centilitri;cl;
cliente;cliente;;
clima;clima;;
clinica;clinica;;
cliniche;clinica;;
clinici;clinica;;
clinico;clinico;;
clip;clip;;
clisi;clisi;;
clisma;clisma;;
clismi;clisma;;
clistere;clistere;;
clistereglicemia;clistere glicerina;;
clisteri;clistere;;
clistero;clistere;;
cliteri;clistere;;
coaching;coaching;;
coagulometro;coagulometro ;;
cognitive;cognitivo;;
cognitivo;cognitivo;;
coinvolgimento;coinvolgimento;;
coinvolte;coinvolto;;
coinvolti;coinvolto;;
collabirazione;collaborazione;;
collaborazione;collaborazione;;
collegamento;collegamento;;
colleghi;collega;;
colloqio;colloquio;;
colloqui;colloquio;;
colloquio;colloquio;;
colo;colon;;
colon;colon;;
colonatomia;colonstomia;;
colonstamie;colonstomia;;
colonstomia;colonstomia;;
colonstomie;colonstomia;;
colostomia;colonstomia;;
colostomie;colonstomia;;
colostonie;colonstomia;;
colturale;colturale;;
colturali;colturale;;
colture;coltura;;
com;ELIMINARE;;
comlessa;complessa;;
communicatione;comunicazione;;
communicazione;comunicazione;;
comp;ELIMINARE;;
compelessi;complesso;;
competenze;competenze;;
compilare;compilare;;
compilazione;compilazione;;
complese;complesso;;
complessa;complesso;;
complesse;complesso;;
complessi;complesso;;
complessità;complessità;;
complesso;complesso;;
compliance;compliance;;
complicanze;complicanza;;
complicate;complicato;;
comportamenti;comportamento;;
compresa;compreso;;
comprese;compreso;;
compreso;compreso;;
compressi;compresso;;
compressione;compressione;;
compressionecompliance;compressione compliance;;
compressioni;compressione;;
compressiva;compressivo;;
compressive;compressivo;;
compressivi;compressivo;;
compressivo;compressivo;;
computer;computer;;
comunicazione;comunicazione;;
condivise;condiviso;;
condivisione;condivisione;;
condizione;condizione;;
condizioni;condizione;;
conduzione;conduzione;;
confamiliari;familiari;;
conference;conferenza;;
confezionamento;confezionamento;;
confronti;confronto;;
confronto;confronto;;
congiunta;congiunto;;
congiunte;congiunto;;
congiunti;congiunto;;
congiunto;congiunto;;
connessione;connessione;;
conoscitivi;conoscitivi;;
conplesse;complesse;;
consapevolezza;consapevolezza;;
consegna;consegna;;
conselling;counselling;;
consematerialj;materiali;;
consigli;consigli;;
consigliazioni;consigli;;
consuelling;counselling;;
consulente;consulente;;
consulenza;consulenza;;
consulenze;consulenza;;
consultazione;consultazione;;
consulting;consultazione;;
consuntivazione;consultazione;;
contatti;contatto;;
contatto;contatto;;
contenitivi;contenitivo;;
contenitivo;contenitivo;;
contesti;contesto;;
contesto;contesto;;
continua;continuativo;;
continuativo;continuativo;;
continue;continuità;;
continuità;continuità;;
controllati;controllato;;
controlli;controllo;;
controllo;controllo;;
controlo;controllo;;
contuse;controllo;;
conuseling;counselling;;
coordinamento;coordinamento;;
coplesse;complesse;;
corpo;corpo;;
corporea;corporea;;
corretta;corretto;;
corretti;corretto;;
corretto;corretto;;
corsetti;corsetto;;
cose;cosa;;
coseling;counselling;;
costante;costante;;
costruire;costruire;;
cot;centrale operativa territoriale;cot;
coumadin;coumadin;;
counceling;counselling;;
councelling;counselling;;
counselig;counselling;;
counseling;counselling;;
counselingla;counselling;;
counselling;counselling;;
counselng;counselling;;
couseling;counselling;;
couselling;counselling;;
covid;covid;;
cranica;cranico;;
cre;ELIMINARE;;
creazione;creazione;;
crisi;crisi;;
crisma;clisma;;
crismi;clisma;;
criteri;criterio;;
critico;critico;;
crntrali;centrale;;
crociato;crociato;;
cronica;cronico;;
croniche;cronico;;
cronici;cronico;;
cronico;cronico;;
csregiver;caregiver;;
cteteri;catetere;;
cultura;cultura;;
culturali;culturale;;
cumarina;cumarina;;
cunseling;counselling;;
cura;cura;;
curante;curante;;
curanti;curante;;
cure;cura;;
cut;ELIMINARE;;
cutanea;cutaneo;;
cutanee;cutaneo;;
cutanei;cutaneo;;
cutaneo;cutaneo;;
cute;cute;;
cv;catetere venoso;cv;
cvc;catetere venoso centrale;cvc;
cvce;catetere venoso centrale;cvc;
cvp;catetere venoso periferico;cvp;
dat;direttive anticipate di trattamento;dat;
dati;dato;;
dauerkatheter;catetere vescicale;;
dauerkatheterversorgung;catetere vescicale;;
decibiti;decubito;;
declivi;declive;;
decubiti;decubito;;
decubito;decubito;;
decubuto;decubito;;
decupido;decubito;;
decupito;decubito;;
decuto;decubito;;
definito;definito;;
definizione;definizione;;
degenerative;degenerativo;;
deiscenze;deiscenza;;
dem;ELIMINARE;;
den;ELIMINARE;;
denaturazione;denaturazione;;
der;ELIMINARE;;
derivative;derivativo;;
derivazioni;derivazione;;
dermatiti;dermatiti;;
desutura;desutura;;
desuture;desutura;;
determinate;determinato;;
determinazione;determinazione;;
detersione;detersione;;
deubito;decubito;;
devacee;device;;
device;device;;
devices;device;;
diabete;diabete;;
diabetica;diabete;;
diabetiche;diabetico;;
diabetici;diabetico;;
diabetico;diabetico;;
diagnostiche;diagnostico;;
diagnostici;diagnostico;;
diagnostico;diagnostico;;
dialisi;dialisi;;
dialogo;dialogo;;
diario;diario;;
didatticabed;didattica ;;
diensten;servizio;;
dieta;dieta;;
difficile;difficile;;
difficili;difficile;;
digitale;digitale;;
digiuno;digiuno;;
digiunostomia;digiunostomia;;
digiunostomie;digiunostomia;;
diimissione;dimissione;;
dilatazioni;dilatazioni;;
dimensionale;dimensionale;;
dimissione;dimissione;;
dimissioni;dimissione;;
dimora;domora;;
diretta;diretto;;
disabile;disabile;;
disabilita;disabilità;;
disabilità;disabilità;;
disconnessione;disconnessione;;
discussione;discussione;;
disfagia;disfagia;;
disfagici;disfagico;;
disidratati;disidratato;;
disidratazione;disidratazione;;
disinfezione;disinfezione;;
dispnea;dispnea;;
dispositivi;dispositivo;;
dispositivo;dispositivo;;
distretto;distretto;;
distribuzione;distribuzione;;
disturbante;disturbante;;
disturbanti;disturbante;;
diugiono;digiuno;;
diuresi;diuresi;;
diverse;diverso;;
diversi;diverso;;
divice;device;;
documentazione;documentazione;;
dokumentation;documentazione;;
dolore;dolore;;
doloregestione;gestione dolore;;
dolori;dolore;;
dom;domandare;;
domandare;domandare;;
domande;domanda;;
domestico;domestico;;
domiciliare;domiciliare;;
domiciliari;domiciliare;;
domicilio;domicilio;;
domicolio;domicilio;;
domiicliare;domiciliare;;
domiiclio;domiciliare;;
donna;donna;;
doore;dolore;;
doppio;doppio;;
doppler;doppler;;
dosaggio;dosaggio;;
dotazione;dotazione;;
dottoresse;dottore;;
dottori;dottore;;
drainspülungen;irrigazione;;
drenaddi;drenaggio;;
drenaggi;drenaggio;;
drenaggio;drenaggio;;
dreneggi;drenaggio;;
dubbi;dubbio;;
duodenali;duodenale;;
durata;durata;;
ec;ELIMINARE;;
ecccc;ELIMINARE;;
ecct;ELIMINARE;;
ecg;elettrocardiogramma;ecg;
ecoguidati;ecoguidato;;
ecoguidato;ecoguidato;;
ect;ELIMINARE;;
ecvp;catetere venoso periferico;cvp;
edaucazione;educazione;;
edemi;edema;;
edeucazione;educazione;;
edicazione;educazione;;
edispositivi;dispositivo;;
edizione;edizione;;
edovena;endovena;;
edovenose;endovena;;
edt;ELIMINARE;;
educ;educazione;;
educaione;educazione;;
educare;educare;;
educativa;educare;;
educativi;educare;;
educativo;educativo;;
educatore;educatore;;
educazionale;educazionale;;
educazionali;educazionale;;
educazione;educazione;;
educazionetracheo;educazione tracheostomia;;
educazioni;educazione tracheostomia;;
educazuione;educazione;;
edukation;educazione;;
effettuate;effettuato;;
effettuazione;effettuazione;;
effettuazioni;effettuazione;;
efficace;efficace;;
ega;emogasanalisi;ega;
egc;elettrocardiogramma;ecg;
einläufe;clistere;;
elaborazione;elaborazione;;
elasocompressivi;elastocompressivo;;
elasocompressivo;elastocompressivo;;
elastiche;elastico;;
elastici;elastico;;
elastico;elastico;;
elasticocompressivi;elastocompressivo;;
elasticompressivo;elastocompressivo;;
elasto;elastocompressivo;;
elastocmpressivi;elastocompressivo;;
elastocompressimo;elastocompressivo;;
elastocompressioni;elastocompressivo;;
elastocompressiva;elastocompressivo;;
elastocompressive;elastocompressivo;;
elastocompressivi;elastocompressivo;;
elastocompressivo;elastocompressivo;;
elastomeri;elastomero;;
elastomerica;elastomerico;;
elastomeriche;elastomerico;;
elastomerico;elastomerico;;
elastomero;elastomero;;
elastometrica;elastomerico;;
elementare;elementare;;
elementi;elemento;;
elenco;elenco;;
elestacompressivi;elastocompressivo;;
elettrocardiogramma;elettrocardiogramma;;
elettrocardiogramme;elettrocardiogramma;;
elettrocardiogrammi;elettrocardiogramma;;
elettromedicali;elettromedicali;;
eliminazione;eliminazione;;
email;email;;
emarici;ematico;;
emarico;ematico;;
ematci;ematico;;
ematiche;ematico;;
ematichimici;ematico;;
ematici;ematico;;
ematico;ematico;;
emativi;ematico;;
ematochimiche;ematochimico;;
ematochimici;ematochimico;;
ematochimico;ematochimico;;
ematochinici;ematochimico;;
ematoco;ematico;;
ematologici;ematologico;;
ematologo;ematologo;;
ematuco;ematico;;
emergenza;emergenza;;
emocolturali;emoculturale;;
emoderivati;emoderivato;;
emogas;emogasanalisi;;
emogasanali;emogasanalisi;;
emogasanalisi;emogasanalisi;;
emostasi;emostasi;;
emotive;emotivo;;
emotivo;emotivo;;
emotrafusione;emotrasfusione;;
emotrasfusione;emotrasfusione;;
emotrasfusionene;emotrasfusione;;
emotrasfusioni;emotrasfusione;;
empatica;empatico;;
empowerment;empowerment;;
emtico;ematico;;
endotracheale;endotracheale;;
endotracheali;endotracheale;;
endovena;endovena;;
endovene;endovena;;
endovenosa;endovenoso;;
endovenose;endovenoso;;
endovenosi;endovenoso;;
endovenoso;endovenoso;;
endovesa;endovenoso;;
endovesone;endovenoso;;
endvenosa;endovenoso;;
eneterali;enterale;;
enovenosa;endovenoso;;
enovenose;endovenoso;;
enpt;nutrizione parenterale totale;npt;
enterable;enterale;;
enteraje;enterale;;
enterale;enterale;;
enterali;enterale;;
enterele;enterale;;
enterle;enterale;;
entero;entero;;
enteroclisma;enteroclisma;;
enteroclismi;enteroclisma;;
enteroclismo;enteroclisma;;
enterostomia;enterostomia;;
enterostomie;enterostomia;;
entfernen;enterostomia;;
entorostomie;enterostomia;;
entrale;enterale;;
entrali;enterale;;
entrate;entrata;;
entrati;entrato;;
eo;esame obiettivo;eo;
eparina;eparina;;
epicistostomie;epicistostomia;;
equilibrio;equilibrio;;
equipe;equipe;;
er;ELIMINARE;;
erziehung;educazione;;
es;esame;;
esame;esame;;
esami;esame;;
escare;escara;;
escreato;escreato;;
escreti;escreto;;
esecuzione;esecuzione;;
esecuzioni;esecuzione;;
eseguire;eseguire;;
esito;esito;;
eslasto;elasto;;
esng;sondino naso gastrico;sng;
espertizazione;asportazione;;
esplorazione;esplorazione;;
esplorazioni;esplorazione;;
estemporanea;estemporaneo;;
estemporanei;estemporaneo;;
estemporaneo;estemporaneo;;
estione;gestione;;
etc;ELIMINARE;;
etran;ELIMINARE;;
ev;endovena;ev;
evaciuzione;evacuazione;;
evacquativa;evacuativo;;
evacuante;evacuante;;
evacuanti;evacuante;;
evacuati;evacuativo;;
evacuatici;evacuativo;;
evacuatico;evacuativo;;
evacuaticvi;evacuativo;;
evacuativa;evacuativo;;
evacuative;evacuativo;;
evacuativi;evacuativo;;
evacuativo;evacuativo;;
evacuatore;evacuativo;;
evacuatoria;evacuativo;;
evacuazione;evacuazione;;
evacutivi;evacuativo;;
evacutivo;evacuativo;;
evaquativi;evacuativo;;
evaquativo;evacuativo;;
evatici;evacuativo;;
eventi;evento;;
eventuale;eventuale;;
eventuali;eventuale;;
evscicale;vescicale;;
facilitator;facilitatore;;
facilitatore;facilitatore;;
facilitatorie;facilitazione;;
facilitazione;facilitazione;;
facilitazioni;facilitazione;;
fae;ELIMINARE;;
fam;famiglia;;
famiglia;famiglia;;
famigliare;familiare;;
famigliari;familiare;;
famiglie;famiglia;;
familia;famiglia;;
familiare;familiare;;
familiari;familiare;;
familienzentrierte;familiare;;
familienzentrierten;familiare;;
family;famiglia;;
far;faringeo;;
faringea;faringeo;;
faringeo;faringeo;;
farmaceutici;farmaceutico;;
farmaci;farmaco;;
farmacia;farmacia;;
farmaco;farmaco;;
farmacologica;farmacologico;;
farmacologiche;farmacologico;;
fascia;fascia;;
fasciatura;fasciatura;;
fasciature;fasciatura;;
fascisture;fasciatura;;
fase;fase;;
fasi;fase;;
fatmaci;farmaco;;
fatmacologico;farmacologico;;
favorire;favorire;;
fc;fleboclisi;;
feboclisi;fleboclisi;;
fecalomi;fecaloma;;
femmina;femmina;;
femminile;femminile;;
femminili;femminile;;
fer;ELIMINARE;;
ferale;ELIMINARE;;
ferita;ferita;;
ferite;ferita;;
ficc;ELIMINARE;;
fiducia;fiducia;;
figure;figura;;
fisiol;fisiologica;;
fisiologica;fisiologica;;
fissaggio;fissaggio;;
fissatori;fissatore;;
flacone;flacone;;
flc;flacone;;
flebboclisi;fleboclisi;;
flebloclisi;fleboclisi;;
flebo;flebo;;
fleboa;flebo;;
fleboclici;fleboclisi;;
fleboclisi;fleboclisi;;
fleboclusi;fleboclisi;;
flebologia;fleboclisi;;
flebologici;fleboclisi;;
fleboterapa;fleboterapia;;
fleboterapia;fleboterapia;;
fleboterapie;fleboterapia;;
flecoclisi;fleboclisi;;
fleet;clistere;;
flit;clistere;;
fluidoterapia;fleboterapia;;
fluidoterapie;fleboterapia;;
foillow;follow up;;
foley;foley;;
follow;follow up;;
followup;follow up;;
follw;follow up;;
formativi;formativo;;
formazione;formazione;;
formazone;formazione;;
formulari;formulario;;
fornire;fornire;;
fornite;fornito;;
fornitura;fornitura;;
forniture;fornire;;
fr;ELIMINARE;;
fragile;fragile;;
fragili;fragile;;
framaci;farmaci;;
frz;ELIMINARE;;
funzionale;funzionale;;
funzionali;funzionale;;
funzionalità;funzionalità;;
funzionalià;funzionalità;;
funzione;funzione;;
funzioni;funzione;;
gambaletti;gambaletti;;
gambe;gamba;;
garantire;garantire;;
gare;gara;;
garegiver;caregiver;;
gastriche;gastrico;;
gastrici;gastrico;;
gastrico;gastrico;;
gastroenterici;gastroenterico;;
gastrostomia;gastrostomia;;
gastrostomica;gastrostomica;;
gastrostomiche;gastrostomica ;;
gastrostomici;gastrostomica;;
gastrostomie;gastrostomia;;
gastrotube;gastro tube;;
generali;generale;;
genere;genere;;
generica;generico;;
geriatrici;geriatrico;;
gesione;gestione;;
gespräche;gestione;;
gesrione;gestione;;
gest;gestione;;
gestiione;gestione;;
gestine;gestione;;
gestiobe;gestione;;
gestiome;gestione;;
gestione;gestione;;
gestionecatetere;gestione catetere;;
gestionecv;gestione cv;cv;
gestionei;gestione;;
gestionepeg;gestione peg;peg;
gestioni;gestione;;
gestire;gestire;;
gestito;gestito;;
gestoni;gestione;;
gestrione;gestione;;
getione;gestione ;;
gewichtskontrolle;controllo del peso;;
ghilarza;ELIMINARE;;
ghiver;tremare;;
ghrosshong;groshong;;
giornaliera;giornaliero;;
give;caregiver;;
giver;caregiver;;
givers;caregiver;;
gives;caregiver;;
glicemia;glicemia;;
glicemici;glicemico;;
glicemico;glicemico;;
glicemie;glicemia;;
globale;globale;;
gluc;glucosio;;
glucometro;glucometro;;
glucosata;glucosata;;
glucotest;glucotest;;
gomme;gomma;;
grado;grado;;
granulomi;granuloma;;
groshong;groshong;;
grstione;gestione;;
hausbesuche;visita domiciliare;;
hause;domicilio;;
heilbehelfe;dispositivi medici;;
hgt;emo gluco test;Hgt;
hilfsmittel;AIDS;AIDS;
hnhnhnhnhh;ELIMINARE;;
hosp;Ospedale;;
huber;ago di Huber;;
hubert;ago di Huber;;
identificazione;identificazione;;
idr;idratante;;
idratanta;idratante;;
idratante;idratante;;
idratanti;idratante;;
idratazione;idratazione;;
idratazioni;idratazione;;
idratazuoni;idratazione;;
idrica;idrica;;
ifec;infermiere di famiglia;ifec;
igene;igiene;;
igeniche;igienico;;
igienche;igienico;;
igiene;igiene;;
igieniche;igienico;;
igienico;igienico;;
ii;ELIMINARE;;
iii;ELIMINARE;;
ilchirurgo;il chirurgo;;
ileo;ileo;;
ileostomia;ileostomia;;
ileostomie;ileostomia;;
iline;ELIMINARE;;
ilio;ilo;;
im;instramuscolare;im;
impacchi;impacco;;
impegnative;impegnativa;;
impiantabili;impiantabile;;
impiantati;impiantato;;
impianti;impianto;;
impianto;impianto;;
incanalare;incanalare;;
incannulamento;incannulamento;;
incarico;incarico;;
incluse;incluso;;
inclusi;incluso;;
incontri;incontro;;
incontro;incontro;;
incremento;incremento;;
indagini;indagine;;
indicazioni;indicazione;;
indirizzare;indirizzare;;
individuali;individuale;;
induzione;induzione;;
inerventi;intervento;;
inettive;iniettivo;;
inf;ELIMINARE;;
inferiore;inferiore;;
inferiori;inferiore;;
infermeristico;infermieristico;;
infermiere;infermiere;;
infermieri;infermiere;;
infermieristica;infermieristico;;
infermieristiche;infermieristico;;
infermieristici;infermieristico;;
infermieristico;infermieristico;;
inffusiva;infusiva;;
infisioni;infusione;;
influsioni;infusione;;
info;informazione;;
infondere;infondere;;
informale;informale;;
informatico;informatico;;
informativi;informativo;;
informativo;informativo;;
informazione;informazione;;
informazioni;informazione;;
infuisonali;Infusionale;;
infusi;Infusione;;
infusinale;Infusionale;;
infusioale;Infusionale;;
infusiobale;Infusionale;;
infusionale;Infusionale;;
infusionali;Infusionale;;
infusionanale;Infusionale;;
infusione;Infusione;;
