index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
193	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	004T
194	Educazione Sanitaria	Comunicazione	comunicazione	122R
195	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico da venipuntura periferica	prelievo ematico da venipuntura periferica	033T
196	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	032T
197	Monitoraggi e Misurazioni	Misurare i parametri	misurare i parametri	004T
198	Medicazioni Avanzate	Medicazioni	medicazioni	031T
199	Educazione Sanitaria	Ascolto/supporto al paziente e caregiver	ascoltosupporto al paziente e caregiver	122R
200	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
201	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
202	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
203	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
204	Monitoraggi e Misurazioni	Monitoraggio parametri clinici	monitoraggio parametri clinici	004T
205	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
206	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
207	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	004T
208	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
209	procedure clinico assistenziali	Medicine	medicine	017T
210	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	017T
211	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	032T
212	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematochimico	prelievo ematochimico	033T
213	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
215	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
216	Medicazioni Avanzate	Medicazioni	medicazioni	031T
217	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
218	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
219	Medicazioni Avanzate	Medicazioni	medicazioni	031T
220	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
221	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia ev	terapia ev	033T
222	Medicazioni Avanzate	Medicazioni vascolari	medicazioni vascolari	032T
223	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
224	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
225	Medicazioni Avanzate	Medicazioni ulcere vascolari, ldd, med chirurgiche	medicazioni ulcere vascolari ldd med chirurgiche	032T
226	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico bioumorale	prelievo ematico bioumorale	033T
227	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematochimici	prelievi ematochimici	033T
228	procedure clinico assistenziali	Terapia intramuscolare	terapia intramuscolare	016T
229	Medicazioni Avanzate	Medicazioni semplici e complesse	medicazioni semplici e complesse	032T
231	Medicazioni Avanzate	Medicazioni complesse da lesioni da decubito	medicazioni complesse da lesioni da decubito	032T
232	Medicazione semplice	Medicazioni picc	medicazioni picc	031T
233	procedure clinico assistenziali	Intramuscolare	intramuscolare	016T
234	Medicazioni Avanzate	Medicazioni	medicazioni	031T
235	Medicazioni Avanzate	Medicazioni ulcere	medicazioni ulcere	031T
236	Medicazioni Avanzate	Medicazioni	medicazioni	031T
237	Medicazione semplice	Medicazione	medicazione	031T
238	Medicazioni Avanzate	Medicazione LDD	medicazione ldd	031T
239	Medicazioni Avanzate	Medicazione LDD	medicazione ldd	031T
240	Medicazione semplice	Medicazione	medicazione	031T
241	Medicazioni Avanzate	Medicazioni ulcere vascolari	medicazioni ulcere vascolari	032T
242	Medicazione semplice	Medicazioni lesioni varie	medicazioni lesioni varie	031T
243	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
244	procedure clinico assistenziali	Somministrazione terapia im	somministrazione terapia im	016T
245	Medicazioni Avanzate	Medicazioni ldp	medicazioni ldp	031T
246	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
248	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	032T
249	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	031T
250	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
251	procedure clinico assistenziali	Bendaggio aaii	bendaggio aaii	023T
252	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
253	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
254	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
255	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
256	Medicazioni Avanzate	Medicazione	medicazione	031T
258	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
259	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
260	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
261	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo estemporaneo	prelievo estemporaneo	033T
262	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
263	Medicazione semplice	Medicazione e lavaggio di accessi vascolari centrali ed ad inserzione periferica	medicazione e lavaggio di accessi vascolari centrali ed ad inserzione periferica	031T
264	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
265	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
266	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo esami ematici	prelievo esami ematici	033T
267	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
268	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
269	Medicazioni Avanzate	Medicazioni	medicazioni	031T
270	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
271	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
272	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
273	Medicazioni Avanzate	Gestione medicazioni da decubito e ulcere vascolari	gestione medicazioni da decubito e ulcere vascolari	031T
274	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
275	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
276	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico/TAO	prelievo ematicotao	033T
277	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
278	Medicazioni Avanzate	Medicazioni	medicazioni	031T
279	procedure clinico assistenziali	Ecg	ecg	008T
280	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
282	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
283	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
284	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
285	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
286	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico/INR	prelievo ematicoinr	033T
287	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
288	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
289	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
290	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
291	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
293	Medicazioni Avanzate	Medicazioni	medicazioni	031T
294	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
295	procedure clinico assistenziali	Sostituzione cateteri vescicali	sostituzione cateteri vescicali	065T
298	procedure clinico assistenziali	Prelievo coumadin	prelievo coumadin	033T
299	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
302	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
303	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
304	Medicazioni Avanzate	Medicazioni	medicazioni	031T
305	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
306	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Accesso venoso	accesso venoso	033T
307	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
308	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
309	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
310	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
311	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
312	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
313	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
314	Medicazione semplice	Medicazioni semplice	medicazioni semplice	031T
315	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi	gestione accessi venosi	033T
316	Medicazioni Avanzate	Lesioni da decubito	lesioni da decubito	033T
317	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
318	procedure clinico assistenziali	Catetere vescicale	catetere vescicale	065T
319	Medicazioni Avanzate	Medicazioni lesioni	medicazioni lesioni	031T
320	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
321	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
322	Medicazioni Avanzate	Medicazioni	medicazioni	031T
323	Medicazione semplice	Medicazione semplice	medicazione semplice	031T
325	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
326	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
327	procedure clinico assistenziali	Catetere	catetere	065T
328	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
329	procedure clinico assistenziali	Cambio Catetere vescicale	cambio catetere vescicale	065T
330	procedure clinico assistenziali	Bendaggio aaii	bendaggio aaii	023T
331	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
332	Medicazioni Avanzate	Medicazioni Ldd	medicazioni ldd	031T
