index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
23	procedure clinico assistenziali	Fleboclisi	fleboclisi	fleboclisi	016T	Somministrazione dei medicinali prescritti per via parenterale
24	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
25	Medicazioni Avanzate	Medicazioni semplici e avanzate	medicazioni semplici e avanzate	medicazione semplice e avanzato	032T	Medicazione complessa
26	Medicazioni Avanzate	Medicazione lesioni	medicazione lesioni	medicazione lesioni	031T	Medicazione semplice
27	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
28	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
30	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
31	Medicazioni Avanzate	Medicazione LDD/chirurgica/traumi accidentali	medicazione ldd chirurgica traumi accidentali	medicazione lesione da decubito chirurgico trauma accidentale	031T	Medicazione semplice
32	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
33	procedure clinico assistenziali	Cv	cv	catetere venoso	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
34	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
35	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
36	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
37	procedure clinico assistenziali	Terapia infusiva e nutrizioni parenterali	terapia infusiva e nutrizioni parenterali	terapia infusiva e nutrizione parenterale	016T	Somministrazione dei medicinali prescritti per via parenterale
38	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
39	Medicazione semplice	Medicazioni varie	medicazioni varie	medicazione varie	031T	Medicazione semplice
40	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
41	Medicazione semplice	Medicazioni varie	medicazioni varie	medicazione varie	031T	Medicazione semplice
42	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
43	Medicazioni Avanzate	Medicazione	medicazione	medicazione	031T	Medicazione semplice
44	Educazione Sanitaria	Aspetti comunicazione paziente e famiglia	aspetti comunicazione paziente e famiglia	aspetto comunicazione paziente e famiglia	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
46	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
47	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
48	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
49	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esami ematici	esami ematici	esame ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
50	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo sangue venoso	prelievo sangue venoso	prelievo sangue venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
51	procedure clinico assistenziali	Terapia infusivonale	terapia infusivonale	terapia infusionale	015T	Somministrazione dei medicinali prescritti per via enterale
52	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
53	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esami	esami	esame	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
54	procedure clinico assistenziali	Mobilizzazione	mobilizzazione	mobilizzazione	091T	Aiuto all'alzata e posizionamento corretto prevenendo ed evitando posizion· wiziate, senza ricorso alle tecniche di rieducazione: - trasferimento e posizionamento del paziente dal letto alla poltrona -  trasferimento del paziente dalla poltrona al letto
55	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
56	Medicazioni Avanzate	Medicazioni LLD, vascolari	medicazioni lld  vascolari	medicazione vascolare	031T	Medicazione semplice
57	Medicazione semplice	Medicazione	medicazione	medicazione	031T	Medicazione semplice
58	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
59	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
60	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
61	PAI, pianificazione, valutazione	Visita di valutazione	visita di valutazione	visita di valutazione	002T	Valutazione dei livelli di dipendenza del paziente a seconda di ogn necessità e bilancio delle risorse disponibili
62	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
63	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
64	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
65	Medicazione semplice	Medicazione	medicazione	medicazione	031T	Medicazione semplice
66	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
67	PAI, pianificazione, valutazione	Valutazione	valutazione	valutazione	002T	Valutazione dei livelli di dipendenza del paziente a seconda di ogn necessità e bilancio delle risorse disponibili
68	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
69	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
70	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
71	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
72	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
73	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
74	Monitoraggi e Misurazioni	Monitoraggio clinico	monitoraggio clinico	monitoraggio clinico	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
75	Monitoraggi e Misurazioni	Misurazione paramentri	misurazione paramentri	misurazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
76	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
77	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	monitoraggio parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
78	Monitoraggi e Misurazioni	Monitoraggio PV	monitoraggio pv	monitoraggio parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
80	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
81	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
82	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
83	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
84	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
85	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
86	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
87	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
88	Medicazione semplice	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
89	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
90	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
91	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
92	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
93	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
94	Medicazione semplice	Medicazione	medicazione	medicazione	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
95	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
96	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
97	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
98	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
99	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
100	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
101	PAI, pianificazione, valutazione	Valutazione globale	valutazione globale	valutazione globale	002T	Valutazione dei livelli di dipendenza del paziente a seconda di ogn necessità e bilancio delle risorse disponibili
102	Educazione Sanitaria	Educazione	educazione	educazione	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
104	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
105	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
106	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
107	Monitoraggi e Misurazioni	Monitoraggio/valutazione	monitoraggio valutazione	monitoraggio valutazione	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
108	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
109	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
110	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
111	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
112	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
113	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
114	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
115	Monitoraggi e Misurazioni	Rilevazione pv	rilevazione pv	rilevazione parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
116	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
117	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
118	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
119	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico, secreti ed escreti	prelievo ematico  secreti ed escreti	prelievo ematico secreti ed escreto	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
120	PAI, pianificazione, valutazione	Valutazione	valutazione	valutazione	002T	Valutazione dei livelli di dipendenza del paziente a seconda di ogn necessità e bilancio delle risorse disponibili
121	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	monitoraggio parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
122	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
123	Medicazione semplice	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
124	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
125	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
126	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
127	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
128	procedure clinico assistenziali	Terapia iniettiva	terapia iniettiva	terapia iniettivo	016T	Somministrazione dei medicinali prescritti per via parenterale
129	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
130	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
131	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
132	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
133	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
134	Monitoraggi e Misurazioni	Monitoraggio patologie croniche	monitoraggio patologie croniche	monitoraggio patologie cronico	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
135	Monitoraggi e Misurazioni	Monitoraggio sintomi disturbanti	monitoraggio sintomi disturbanti	monitoraggio sintomo disturbante	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
136	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
137	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
138	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelevi	prelevi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
139	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
140	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
141	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
